model,channel,anchor_family,n_edges,ordinary_whole_vector_coherence,residual_family_coherence,mean_residual_to_anchor_cosine,residual_coherence_improvement
bge_m3_1024d,cn_def,ROOT-5384,3,0.5568893551826477,0.619232177734375,0.6280286510785421,0.0623428225517272
bge_m3_1024d,cn_def,ROOT-539F,4,0.4722857475280761,0.4975885450839996,0.5984841883182526,0.0253027975559234
bge_m3_1024d,cn_def,ROOT-53B6,11,0.4712288379669189,0.4829328954219818,0.5061226053671404,0.0117040574550628
bge_m3_1024d,cn_def,ROOT-53BB,3,0.6232255101203918,0.6302725672721863,0.5729743242263794,0.0070470571517944
bge_m3_1024d,cn_def,ROOT-53C3,6,0.4989189803600311,0.5403660535812378,0.4748662163813908,0.0414470732212066
bge_m3_1024d,cn_def,ROOT-53C8,15,0.5344725251197815,0.575993001461029,0.565692538022995,0.0415204763412475
bge_m3_1024d,cn_def,ROOT-53C9,2,0.576972246170044,0.5864424705505371,0.6013719141483307,0.0094702243804931
bge_m3_1024d,cn_def,ROOT-53CA,7,0.5097355246543884,0.5487204790115356,0.5799919494560787,0.0389849543571472
bge_m3_1024d,cn_def,ROOT-53CD,5,0.5420344471931458,0.5888048410415649,0.6035804510116577,0.0467703938484191
bge_m3_1024d,cn_def,ROOT-53D6,3,0.544463574886322,0.5041901469230652,0.5651299556096395,-0.0402734279632568
bge_m3_1024d,cn_def,ROOT-53D7,2,0.5404367446899414,0.5762838125228882,0.698822021484375,0.0358470678329467
bge_m3_1024d,cn_def,ROOT-53E3,3,0.5443374514579773,0.5590307116508484,0.4772063891092936,0.014693260192871
bge_m3_1024d,cn_def,ROOT-53E4,26,0.4819337725639343,0.5236296057701111,0.5397087003176029,0.0416958332061767
bge_m3_1024d,cn_def,ROOT-53F8,4,0.549598753452301,0.5561315417289734,0.5945857837796211,0.0065327882766723
bge_m3_1024d,cn_def,ROOT-5404,27,0.49192875623703,0.5169195532798767,0.487328713690793,0.0249907970428466
bge_m3_1024d,cn_def,ROOT-5408,13,0.5740240216255188,0.5954596400260925,0.569360402914194,0.0214356184005737
bge_m3_1024d,cn_def,ROOT-5409,9,0.4849046170711517,0.4863824844360351,0.5177715652518802,0.0014778673648834
bge_m3_1024d,cn_def,ROOT-540C,6,0.4444506466388702,0.4682445526123047,0.510721410314242,0.0237939059734344
bge_m3_1024d,cn_def,ROOT-540D,3,0.5079982280731201,0.5786277651786804,0.670352061589559,0.0706295371055603
bge_m3_1024d,cn_def,ROOT-540E,3,0.5311617255210876,0.510947048664093,0.5173953175544739,-0.0202146768569946
bge_m3_1024d,cn_def,ROOT-5433,3,0.5304581522941589,0.6185857653617859,0.4918139278888702,0.0881276130676269
bge_m3_1024d,cn_def,ROOT-5442,4,0.4830897748470306,0.4992051124572754,0.4408868476748466,0.0161153376102447
bge_m3_1024d,cn_def,ROOT-544A,8,0.4916560351848602,0.5215821266174316,0.5793866440653801,0.0299260914325714
bge_m3_1024d,cn_def,ROOT-5468,13,0.5253759622573853,0.5707711577415466,0.5524344008702499,0.0453951954841613
bge_m3_1024d,cn_def,ROOT-548E,2,0.5794765949249268,0.6531846523284912,0.6313631534576416,0.0737080574035644
bge_m3_1024d,cn_def,ROOT-54B8,7,0.5478342771530151,0.5553618669509888,0.5437824938978467,0.0075275897979736
bge_m3_1024d,cn_def,ROOT-54E1,5,0.5689069628715515,0.5751762390136719,0.5807971358299255,0.0062692761421203
bge_m3_1024d,cn_def,ROOT-5584,3,0.5171909332275391,0.5325498580932617,0.5732836723327637,0.0153589248657226
bge_m3_1024d,cn_def,ROOT-55AE,10,0.4942914843559265,0.5019458532333374,0.5171452641487122,0.0076543688774108
bge_m3_1024d,cn_def,ROOT-55C7,3,0.5166458487510681,0.5530946850776672,0.5578769246737162,0.0364488363265991
bge_m3_1024d,cn_def,ROOT-56B4,2,0.6474730968475342,0.7073192596435547,0.6833824813365936,0.0598461627960205
bge_m3_1024d,cn_def,ROOT-56D7,9,0.4864474833011627,0.4976767301559448,0.4443827039665646,0.0112292468547821
bge_m3_1024d,cn_def,ROOT-56DB,2,0.3736017942428589,0.4122679233551025,0.4730675816535949,0.0386661291122436
