model,channel,root_family_id,rank_change_raw,rank_change_centered
bge_m3_1024d,cn_def,ROOT-56FA,-996.75,-773.0
bge_m3_1024d,cn_def,ROOT-571F,-32.6,37.8
bge_m3_1024d,cn_def,ROOT-572D,-183.6875,-229.0625
bge_m3_1024d,cn_def,ROOT-5807,1325.4,1152.6
bge_m3_1024d,cn_def,ROOT-582F,48.38461538461539,210.3846153846154
bge_m3_1024d,cn_def,ROOT-58EC,136.625,204.0
bge_m3_1024d,cn_def,ROOT-58F4,1925.75,2841.5
bge_m3_1024d,cn_def,ROOT-590B,-62.44444444444444,232.44444444444446
bge_m3_1024d,cn_def,ROOT-590C,223.0,474.5
bge_m3_1024d,cn_def,ROOT-5917,-21.7,75.8
bge_m3_1024d,cn_def,ROOT-591A,1041.75,1324.25
bge_m3_1024d,cn_def,ROOT-5929,-572.25,-421.5
bge_m3_1024d,cn_def,ROOT-592D,124.0,138.0
bge_m3_1024d,cn_def,ROOT-592E,-219.0,-85.55555555555556
bge_m3_1024d,cn_def,ROOT-593E,54.0,189.625
bge_m3_1024d,cn_def,ROOT-5950,244.25,816.0
bge_m3_1024d,cn_def,ROOT-5967,10.75,-469.0
bge_m3_1024d,cn_def,ROOT-5973,531.7142857142857,765.0
bge_m3_1024d,cn_def,ROOT-5A41,-333.90909090909093,-78.81818181818181
bge_m3_1024d,cn_def,ROOT-5B5A,-381.2,-192.4
bge_m3_1024d,cn_def,ROOT-5B83,-365.7142857142857,-299.85714285714283
bge_m3_1024d,cn_def,ROOT-5B89,-399.25,-96.0
bge_m3_1024d,cn_def,ROOT-5B97,-623.8333333333334,-357.3333333333333
bge_m3_1024d,cn_def,ROOT-5B98,242.4,68.8
bge_m3_1024d,cn_def,ROOT-5BB3,-85.75,-291.5
bge_m3_1024d,cn_def,ROOT-5BCD,-73.0,-241.0
bge_m3_1024d,cn_def,ROOT-5BF8,-1162.5,-582.75
bge_m3_1024d,cn_def,ROOT-5C07,-526.25,-361.25
bge_m3_1024d,cn_def,ROOT-5C08,-189.0,-283.2
bge_m3_1024d,cn_def,ROOT-5C0F,-51.411764705882355,-140.47058823529412
bge_m3_1024d,cn_def,ROOT-5C17,-206.375,-229.125
bge_m3_1024d,cn_def,ROOT-5C1A,-41.75,76.3
bge_m3_1024d,cn_def,ROOT-5C39,-21.5,-524.5
bge_m3_1024d,cn_def,ROOT-5C4B,-368.0,-544.2
bge_m3_1024d,cn_def,ROOT-5C6F,-397.3333333333333,-4.5
bge_m3_1024d,cn_def,ROOT-5C70,204.5,252.0
bge_m3_1024d,cn_def,ROOT-5CA1,-79.5,-103.5
bge_m3_1024d,cn_def,ROOT-5DDD,-334.0,-125.0
bge_m3_1024d,cn_def,ROOT-5DE0,-432.42857142857144,-395.42857142857144
bge_m3_1024d,cn_def,ROOT-5DE4,334.25,113.75
bge_m3_1024d,cn_def,ROOT-5DE5,-65.89473684210526,-64.05263157894737
bge_m3_1024d,cn_def,ROOT-5DE8,-435.3333333333333,-349.6666666666667
bge_m3_1024d,cn_def,ROOT-5DF1,104.875,183.875
bge_m3_1024d,cn_def,ROOT-5DF4,-441.7142857142857,-382.0
bge_m3_1024d,cn_def,ROOT-5E0C,773.75,675.75
bge_m3_1024d,cn_def,ROOT-5E1D,-851.0,-862.2
bge_m3_1024d,cn_def,ROOT-5E72,147.375,71.0625
bge_m3_1024d,cn_def,ROOT-5E73,28.833333333333332,290.0
