model,channel,anchor_family,rank_change_raw,rank_change_centered
bge_m3_1024d,cn_def,ROOT-5353,468.6,765.4
bge_m3_1024d,cn_def,ROOT-5357,2588.0,2020.6666666666667
bge_m3_1024d,cn_def,ROOT-535C,972.75,817.75
bge_m3_1024d,cn_def,ROOT-5360,1305.3076923076924,1642.076923076923
bge_m3_1024d,cn_def,ROOT-5371,1059.3333333333333,1442.3333333333333
bge_m3_1024d,cn_def,ROOT-5373,284.5,51.5
bge_m3_1024d,cn_def,ROOT-5377,668.3333333333334,599.0
bge_m3_1024d,cn_def,ROOT-5378,342.6666666666667,376.0
bge_m3_1024d,cn_def,ROOT-5384,1707.6666666666667,1892.3333333333333
bge_m3_1024d,cn_def,ROOT-539F,673.0,311.25
bge_m3_1024d,cn_def,ROOT-53B6,584.6363636363636,881.6363636363636
bge_m3_1024d,cn_def,ROOT-53BB,898.6666666666666,2159.0
bge_m3_1024d,cn_def,ROOT-53C3,1560.6666666666667,1695.3333333333333
bge_m3_1024d,cn_def,ROOT-53C8,1449.2666666666667,1586.9333333333334
bge_m3_1024d,cn_def,ROOT-53C9,1357.0,2017.0
bge_m3_1024d,cn_def,ROOT-53CA,977.8571428571429,1368.4285714285713
bge_m3_1024d,cn_def,ROOT-53CD,1397.6,2220.4
bge_m3_1024d,cn_def,ROOT-53D6,131.66666666666666,39.333333333333336
bge_m3_1024d,cn_def,ROOT-53D7,863.5,887.5
bge_m3_1024d,cn_def,ROOT-53E3,1665.6666666666667,1887.0
bge_m3_1024d,cn_def,ROOT-53E4,1447.9615384615386,1717.1923076923076
bge_m3_1024d,cn_def,ROOT-53EA,426.0,3888.0
bge_m3_1024d,cn_def,ROOT-53F2,4661.0,4590.0
bge_m3_1024d,cn_def,ROOT-53F8,806.0,912.25
bge_m3_1024d,cn_def,ROOT-5404,1437.4444444444443,1426.1851851851852
bge_m3_1024d,cn_def,ROOT-5408,352.6923076923077,566.6923076923077
bge_m3_1024d,cn_def,ROOT-5409,894.1111111111111,1085.6666666666667
bge_m3_1024d,cn_def,ROOT-540C,1686.1666666666667,1610.0
bge_m3_1024d,cn_def,ROOT-540D,1026.0,652.3333333333334
bge_m3_1024d,cn_def,ROOT-540E,816.3333333333334,1046.0
bge_m3_1024d,cn_def,ROOT-5411,227.0,718.0
bge_m3_1024d,cn_def,ROOT-5433,982.3333333333334,1115.0
bge_m3_1024d,cn_def,ROOT-5442,1482.75,1282.5
bge_m3_1024d,cn_def,ROOT-544A,673.25,992.375
bge_m3_1024d,cn_def,ROOT-5468,1857.6153846153845,2148.3846153846152
bge_m3_1024d,cn_def,ROOT-548E,1073.5,1095.0
bge_m3_1024d,cn_def,ROOT-54B8,413.7142857142857,590.0
bge_m3_1024d,cn_def,ROOT-54E1,595.4,575.2
bge_m3_1024d,cn_def,ROOT-54E5,463.0,607.0
bge_m3_1024d,cn_def,ROOT-5584,531.0,619.3333333333334
bge_m3_1024d,cn_def,ROOT-55AE,1305.1,1559.2
bge_m3_1024d,cn_def,ROOT-55C7,2010.3333333333333,2409.6666666666665
bge_m3_1024d,cn_def,ROOT-56B4,545.0,460.0
bge_m3_1024d,cn_def,ROOT-56D7,929.0,965.6666666666666
bge_m3_1024d,cn_def,ROOT-56DA,1113.0,1120.0
bge_m3_1024d,cn_def,ROOT-56DB,2684.0,1392.5
bge_m3_1024d,cn_def,ROOT-56DE,2631.5,3144.75
bge_m3_1024d,cn_def,ROOT-56E0,895.25,1121.25
bge_m3_1024d,cn_def,ROOT-56F0,1195.0,1349.0
bge_m3_1024d,cn_def,ROOT-56F7,2576.0,1336.0
bge_m3_1024d,cn_def,ROOT-56FA,1238.0,1136.8
bge_m3_1024d,cn_def,ROOT-571F,2344.0,1174.5
bge_m3_1024d,cn_def,ROOT-572D,1690.642857142857,1555.9285714285713
bge_m3_1024d,cn_def,ROOT-5750,1896.0,1394.0
bge_m3_1024d,cn_def,ROOT-57F6,1179.0,1457.0
bge_m3_1024d,cn_def,ROOT-57F7,716.0,2310.5
bge_m3_1024d,cn_def,ROOT-5807,925.5,906.3333333333334
bge_m3_1024d,cn_def,ROOT-582F,804.3571428571429,1112.5
bge_m3_1024d,cn_def,ROOT-58EB,978.75,1544.5
bge_m3_1024d,cn_def,ROOT-58EC,734.0,963.625
bge_m3_1024d,cn_def,ROOT-58F4,6.0,0.6666666666666666
bge_m3_1024d,cn_def,ROOT-58F9,1996.5,2238.0
bge_m3_1024d,cn_def,ROOT-58FD,1360.0,2546.6666666666665
bge_m3_1024d,cn_def,ROOT-5903,113.0,802.0
bge_m3_1024d,cn_def,ROOT-590F,1651.0,2385.0
bge_m3_1024d,cn_def,ROOT-5915,282.0,316.0
bge_m3_1024d,cn_def,ROOT-5917,1434.0,1585.7142857142858
bge_m3_1024d,cn_def,ROOT-591A,1096.25,1249.0
bge_m3_1024d,cn_def,ROOT-591C,1250.0,1588.0
bge_m3_1024d,cn_def,ROOT-5927,1787.0,1892.0
bge_m3_1024d,cn_def,ROOT-5929,466.6666666666667,77.0
bge_m3_1024d,cn_def,ROOT-592A,112.0,81.0
bge_m3_1024d,cn_def,ROOT-592B,2426.3333333333335,1944.0
bge_m3_1024d,cn_def,ROOT-592D,13.0,-41.25
bge_m3_1024d,cn_def,ROOT-592E,1782.0,2572.5
bge_m3_1024d,cn_def,ROOT-5932,2033.5,1806.0
bge_m3_1024d,cn_def,ROOT-5937,2497.0,1628.3333333333333
bge_m3_1024d,cn_def,ROOT-593E,1105.4444444444443,1241.7777777777778
bge_m3_1024d,cn_def,ROOT-5944,1011.0,743.4
bge_m3_1024d,cn_def,ROOT-5948,1569.0,1317.0
bge_m3_1024d,cn_def,ROOT-5949,485.0,622.3333333333334
bge_m3_1024d,cn_def,ROOT-594F,1321.5,328.0
bge_m3_1024d,cn_def,ROOT-5950,249.75,592.75
bge_m3_1024d,cn_def,ROOT-595A,1803.0,2684.5
bge_m3_1024d,cn_def,ROOT-5967,1505.5,1921.0
bge_m3_1024d,cn_def,ROOT-5973,1009.0714285714286,1419.5714285714287
bge_m3_1024d,cn_def,ROOT-59A5,1605.5,2844.0
bge_m3_1024d,cn_def,ROOT-59BB,1172.25,1975.75
bge_m3_1024d,cn_def,ROOT-59BE,330.5,964.0
bge_m3_1024d,cn_def,ROOT-5A41,2175.7,1838.2
bge_m3_1024d,cn_def,ROOT-5B50,24.333333333333332,-75.66666666666667
bge_m3_1024d,cn_def,ROOT-5B54,2867.0,3829.0
bge_m3_1024d,cn_def,ROOT-5B58,1736.0,1890.0
bge_m3_1024d,cn_def,ROOT-5B5A,1045.5,1974.25
bge_m3_1024d,cn_def,ROOT-5B5D,1293.0,1933.0
bge_m3_1024d,cn_def,ROOT-5B63,1435.0,733.0
bge_m3_1024d,cn_def,ROOT-5B68,1367.0,1137.0
bge_m3_1024d,cn_def,ROOT-5B6B,1354.5,2119.0
bge_m3_1024d,cn_def,ROOT-5B83,1633.25,615.125
bge_m3_1024d,cn_def,ROOT-5B88,581.0,604.0
bge_m3_1024d,cn_def,ROOT-5B89,1528.0,2236.25
bge_m3_1024d,cn_def,ROOT-5B97,1719.0,1651.0
