model,channel,support_threshold,n_heldout_cases_raw,n_p_root_families_raw,n_distinct_mapped_s_contexts_raw,candidate_count_raw,percent_rank_improved_raw,percent_rank_worsened_raw,percent_rank_tied_raw,top1_rescues_raw,top1_losses_raw,top1_net_raw,baseline_recall_at_1_raw,baseline_recall_at_5_raw,baseline_recall_at_10_raw,baseline_mrr_raw,baseline_median_rank_raw,baseline_mean_rank_raw,offset_recall_at_1_raw,offset_recall_at_5_raw,offset_recall_at_10_raw,offset_mrr_raw,offset_median_rank_raw,offset_mean_rank_raw,recall_at_1_gain_raw,recall_at_5_gain_raw,recall_at_10_gain_raw,human_interpretation_raw,n_heldout_cases_centered,n_p_root_families_centered,n_distinct_mapped_s_contexts_centered,candidate_count_centered,percent_rank_improved_centered,percent_rank_worsened_centered,percent_rank_tied_centered,top1_rescues_centered,top1_losses_centered,top1_net_centered,baseline_recall_at_1_centered,baseline_recall_at_5_centered,baseline_recall_at_10_centered,baseline_mrr_centered,baseline_median_rank_centered,baseline_mean_rank_centered,offset_recall_at_1_centered,offset_recall_at_5_centered,offset_recall_at_10_centered,offset_mrr_centered,offset_median_rank_centered,offset_mean_rank_centered,recall_at_1_gain_centered,recall_at_5_gain_centered,recall_at_10_gain_centered,human_interpretation_centered,n_heldout_cases_centered_minus_raw,n_p_root_families_centered_minus_raw,n_distinct_mapped_s_contexts_centered_minus_raw,candidate_count_centered_minus_raw,percent_rank_improved_centered_minus_raw,percent_rank_worsened_centered_minus_raw,percent_rank_tied_centered_minus_raw,top1_rescues_centered_minus_raw,top1_losses_centered_minus_raw,top1_net_centered_minus_raw,baseline_recall_at_1_centered_minus_raw,baseline_recall_at_5_centered_minus_raw,baseline_recall_at_10_centered_minus_raw,baseline_mrr_centered_minus_raw,baseline_median_rank_centered_minus_raw,baseline_mean_rank_centered_minus_raw,offset_recall_at_1_centered_minus_raw,offset_recall_at_5_centered_minus_raw,offset_recall_at_10_centered_minus_raw,offset_mrr_centered_minus_raw,offset_median_rank_centered_minus_raw,offset_mean_rank_centered_minus_raw,recall_at_1_gain_centered_minus_raw,recall_at_5_gain_centered_minus_raw,recall_at_10_gain_centered_minus_raw
bge_m3_1024d,zh_char,5,4181,346,215,11150,68.69170055010763,30.590767758909355,0.7175316909830185,6,7,-1,0.003587658454915,0.015307342740971,0.0248744319540779,0.011567097852518,4669.0,4622.764171250897,0.0033484812245874,0.0121980387467113,0.0186558239655584,0.0086370134888739,5612.0,5014.902176512796,-0.0002391772303276,-0.0031093039942597,-0.0062186079885194,,4181,346,215,11150,63.28629514470222,32.28892609423583,4.424778761061947,11,3,8,0.003587658454915,0.016024874431954,0.0248744319540779,0.0118509541708235,4453.0,4677.637168141593,0.0055010762975364,0.0208084190385075,0.0332456350155465,0.015997069700698,4044.0,4283.880889739296,0.0019134178426213,0.0047835446065534,0.0083712030614685,,0,0,0,0,-5.4054054054054035,1.6981583353264789,3.707247070078928,5,-4,9,0.0,0.0007175316909829987,0.0,0.000283856318305499,-216.0,54.87299689069641,0.002152595072949,0.0086103802917962,0.014589811049988098,0.007360056211824098,-1568.0,-731.0212867734999,0.0021525950729488997,0.0078928486008131,0.0145898110499879
bge_m3_1024d,zh_char,8,3313,220,201,11150,68.09538182915786,31.21038333836402,0.6942348324781165,5,7,-2,0.0039239360096589,0.0162994265016601,0.0253546634470268,0.0121305208775454,4381.0,4576.926954421974,0.0033202535466344,0.0117718080289767,0.017506791427709,0.0083735084718122,5616.0,5039.729550256565,-0.0006036824630244,-0.0045276184726833,-0.0078478720193178,,3313,220,201,11150,64.02052520374284,31.632961062481137,4.346513733776034,10,2,8,0.0036220947781466,0.017506791427709,0.0253546634470268,0.0123909335045008,4356.0,4625.731059462722,0.0060368246302444,0.0211288862058557,0.0335043766978569,0.0166979659279514,3886.0,4233.059764563839,0.0024147298520977,0.0036220947781466,0.00814971325083,,0,0,0,0,-4.074856625415023,0.42257772411711514,3.652278901297917,5,-5,10,-0.00030184123151229996,0.0012073649260488997,0.0,0.0002604126269554006,-25.0,48.804105040748254,0.0027165710836099997,0.009357078176879,0.0159975852701479,0.008324457456139198,-1730.0,-806.6697856927258,0.0030184123151221,0.0081497132508299,0.0159975852701478
gte_multilingual_base_768d,cn_def,3,2398,320,177,6039,55.04587155963303,42.91075896580484,2.043369474562135,3,2,1,0.0054211843202668,0.024603836530442,0.0400333611342785,0.0200591601652732,1077.0,1806.6042535446204,0.0058381984987489,0.0233527939949958,0.0442035029190992,0.020544740495949,956.5,1669.8302752293578,0.000417014178482,-0.0012510425354462,0.0041701417848206,"Across 2,398 held-out members of P families, the correct derived character was rank 1 in 0.54% using S alone and 0.58% after adding r_P.",2398,320,177,6039,54.253544620517104,43.53628023352794,2.2101751459549623,3,1,2,0.0041701417848206,0.024603836530442,0.0391993327773144,0.019357235991591,950.0,1657.1259382819017,0.0050041701417848,0.0266889074228523,0.0404503753127606,0.0204180549469673,837.5,1507.9361968306923,0.0008340283569641,0.0020850708924103,0.0012510425354462,"Across 2,398 held-out members of P families, the correct derived character was rank 1 in 0.42% using S alone and 0.50% after adding r_P.",0,0,0,0,-0.7923269391159238,0.6255212677231015,0.1668056713928272,0,-1,1,-0.0012510425354462004,0.0,-0.0008340283569641047,-0.0007019241736822002,-127.0,-149.47831526271875,-0.0008340283569641003,0.0033361134278564984,-0.0037531276063385993,-0.0001266855489816983,-119.0,-161.89407839866544,0.0004170141784821,0.0033361134278564997,-0.0029190992493743997
gte_multilingual_base_768d,cn_def,5,1804,185,164,6039,56.430155210643015,41.29711751662971,2.272727272727273,3,1,2,0.0049889135254988,0.0254988913525498,0.0388026607538802,0.0197719326893479,1075.5,1796.980044345898,0.0060975609756097,0.0232815964523281,0.0437915742793791,0.0205302482951923,952.0,1652.5626385809312,0.0011086474501108,-0.0022172949002217,0.0049889135254988,,1804,185,164,6039,54.988913525498894,42.90465631929046,2.106430155210643,3,1,2,0.003880266075388,0.0249445676274944,0.0393569844789357,0.0190606299114958,949.5,1643.4783813747229,0.0049889135254988,0.0277161862527716,0.041019955654102,0.0206052300485563,830.5,1490.560421286031,0.0011086474501108,0.0027716186252771,0.0016629711751662,,0,0,0,0,-1.4412416851441208,1.6075388026607484,-0.1662971175166299,0,0,0,-0.0011086474501108001,-0.0005543237250554001,0.0005543237250555041,-0.0007113027778520992,-126.0,-153.50166297117516,-0.0011086474501108999,0.004434589800443499,-0.0027716186252771044,7.49817533640014e-05,-121.5,-162.00221729490022,0.0,0.0049889135254988,-0.0033259423503326
gte_multilingual_base_768d,cn_def,8,1112,86,135,6039,56.65467625899281,40.73741007194245,2.6079136690647484,1,0,1,0.0035971223021582,0.0260791366906474,0.0422661870503597,0.0191058210013483,1054.5,1770.5791366906474,0.0044964028776978,0.0242805755395683,0.0449640287769784,0.0195689438774961,927.0,1639.80035971223,0.0008992805755395,-0.0017985611510791,0.0026978417266187,,1112,86,135,6039,55.305755395683455,42.44604316546763,2.2482014388489207,1,1,0,0.0035971223021582,0.0242805755395683,0.0413669064748201,0.0186898981850803,953.5,1638.2571942446043,0.0035971223021582,0.0251798561151079,0.0404676258992805,0.0195615218519523,830.0,1492.0944244604316,0.0,0.0008992805755395,-0.0008992805755395,,0,0,0,0,-1.3489208633093526,1.7086330935251794,-0.35971223021582777,0,1,-1,0.0,-0.0017985611510791012,-0.0008992805755395974,-0.00041592281626799676,-101.0,-132.32194244604307,-0.0008992805755396,0.0008992805755396009,-0.004496402877697904,-7.4220255437996985e-06,-97.0,-147.70593525179834,-0.0008992805755395,0.0026978417266186,-0.0035971223021582
gte_multilingual_base_768d,en_def_translated_cn_def,3,2398,320,177,6039,53.252710592160135,44.91242702251876,1.834862385321101,4,1,3,0.0058381984987489,0.0258548790658882,0.0417014178482068,0.0201177338339114,1061.5,1747.7814845704754,0.0070892410341951,0.0233527939949958,0.0391993327773144,0.0203114724701312,1040.5,1652.2443703085903,0.0012510425354462,-0.0025020850708924,-0.0025020850708924,"Across 2,398 held-out members of P families, the correct derived character was rank 1 in 0.58% using S alone and 0.71% after adding r_P.",2398,320,177,6039,52.50208507089241,45.57964970809007,1.9182652210175144,5,4,1,0.006255212677231,0.0258548790658882,0.0450375312760633,0.0210174685274988,946.0,1705.1255212677231,0.006672226855713,0.0233527939949958,0.0421184320266889,0.0208776571860219,915.0,1597.2952460383651,0.000417014178482,-0.0025020850708924,-0.0029190992493744,"Across 2,398 held-out members of P families, the correct derived character was rank 1 in 0.63% using S alone and 0.67% after adding r_P.",0,0,0,0,-0.7506255212677218,0.6672226855713106,0.08340283569641338,1,3,-2,0.00041701417848210003,0.0,0.003336113427856502,0.0008997346935873986,-115.5,-42.6559633027523,-0.00041701417848210003,0.0,0.0029190992493745016,0.0005661847158907017,-125.5,-54.949124270225184,-0.0008340283569641998,0.0,-0.0004170141784820003
gte_multilingual_base_768d,en_def_translated_cn_def,5,1804,185,164,6039,54.60088691796009,43.62527716186253,1.7738359201773837,4,1,3,0.0049889135254988,0.0271618625277161,0.0437915742793791,0.0201587712341234,1057.0,1757.6064301552103,0.0066518847006651,0.0238359201773835,0.0421286031042128,0.0204876080867871,1060.0,1651.686252771619,0.0016629711751662,-0.0033259423503325,-0.0016629711751662,,1804,185,164,6039,53.713968957871394,44.29046563192905,1.9955654101995564,4,3,1,0.0055432372505543,0.0271618625277161,0.0471175166297117,0.0211349213248289,932.5,1701.4368070953435,0.0060975609756097,0.0238359201773835,0.04490022172949,0.0212395220584781,911.5,1583.6707317073171,0.0005543237250554,-0.0033259423503325,-0.0022172949002217,,0,0,0,0,-0.8869179600886952,0.6651884700665249,0.22172949002217268,0,2,-2,0.0005543237250554998,0.0,0.0033259423503325947,0.0009761500907055007,-124.5,-56.16962305986681,-0.0005543237250554001,0.0,0.0027716186252772015,0.0007519139716910019,-148.5,-68.01552106430177,-0.0011086474501108001,0.0,-0.0005543237250555
gte_multilingual_base_768d,en_def_translated_cn_def,8,1112,86,135,6039,55.57553956834532,42.62589928057554,1.7985611510791366,2,0,2,0.0044964028776978,0.0242805755395683,0.0422661870503597,0.019184962003212,1037.5,1764.2553956834531,0.0062949640287769,0.0224820143884892,0.0422661870503597,0.0199004289478697,1050.5,1663.4163669064749,0.0017985611510791,-0.0017985611510791,0.0,,1112,86,135,6039,54.76618705035972,43.16546762589928,2.068345323741007,2,0,2,0.0044964028776978,0.0242805755395683,0.0458633093525179,0.0200379977300679,966.0,1717.5971223021584,0.0062949640287769,0.0215827338129496,0.0467625899280575,0.0209385747291272,944.5,1600.2491007194244,0.0017985611510791,-0.0026978417266187,0.0008992805755395,,0,0,0,0,-0.8093525179856016,0.5395683453237439,0.2697841726618706,0,0,0,0.0,0.0,0.0035971223021582024,0.0008530357268559004,-71.5,-46.65827338129475,0.0,-0.0008992805755396009,0.0044964028776978,0.0010381457812575004,-106.0,-63.16726618705047,0.0,-0.0008992805755396,0.0008992805755395
gte_multilingual_base_768d,en_gloss_unihan,3,4186,448,211,9152,62.44624940277114,36.76540850453894,0.7883420926899188,22,1,21,0.0031055900621118,0.0105112279025322,0.0186335403726708,0.010413438643172,1299.0,2344.54204491161,0.0081223124701385,0.029144768275203,0.0451505016722408,0.0228992094181539,1071.0,2137.5437171524127,0.0050167224080267,0.0186335403726708,0.0265169612995699,"Across 4,186 held-out members of P families, the correct derived character was rank 1 in 0.31% using S alone and 0.81% after adding r_P.",4186,448,211,9152,66.31629240324892,32.967032967032964,0.716674629718108,18,2,16,0.0028666985188724,0.0105112279025322,0.0169612995699952,0.0100453925841812,1334.0,2323.40635451505,0.0066889632107023,0.0303392259913999,0.046583850931677,0.0228242630311666,962.0,2044.905160057334,0.0038222646918299,0.0198279980888676,0.0296225513616817,"Across 4,186 held-out members of P families, the correct derived character was rank 1 in 0.29% using S alone and 0.67% after adding r_P.",0,0,0,0,3.8700430004777857,-3.798375537505976,-0.07166746297181081,-4,1,-5,-0.00023889154323940027,0.0,-0.0016722408026756015,-0.00036804605899080044,35.0,-21.135690396559767,-0.0014333492594362004,0.0011944577161968999,0.0014333492594362021,-7.494638698729919e-05,-109.0,-92.6385570950788,-0.0011944577161967997,0.0011944577161967992,0.0031055900621118
gte_multilingual_base_768d,en_gloss_unihan,5,3577,312,203,9152,63.600782778864975,35.58848196812971,0.8107352530053118,20,1,19,0.0033547665641599,0.0117416829745596,0.0195694716242661,0.0109662898274152,1278.0,2327.6896840928152,0.0086664802907464,0.0290746435560525,0.0458484763768521,0.0234704695378085,1044.0,2108.0746435560527,0.0053117137265865,0.0173329605814928,0.0262790047525859,,3577,312,203,9152,67.79424098406486,31.506849315068493,0.698909700866648,16,2,14,0.0030752026838132,0.0117416829745596,0.0178920883421861,0.0105561594073279,1278.0,2298.1794800111825,0.0069890970086664,0.0313111545988258,0.0478054235392787,0.0235650610768307,913.0,2006.8244338831423,0.0039138943248532,0.0195694716242661,0.0299133351970925,,0,0,0,0,4.193458205199882,-4.08163265306122,-0.11182555213866374,-4,1,-5,-0.0002795638803467001,0.0,-0.0016773832820799993,-0.0004101304200872999,0.0,-29.510204081632764,-0.0016773832820800002,0.0022365110427733023,0.0019569471624266005,9.459153902219991e-05,-131.0,-101.25020967291039,-0.0013978194017333,0.002236511042773299,0.0036343304445066
