edge_id,anchor_char,derived_char,added_component,anchor_role,added_component_role,phonophore_root,recursive_depth,family_id_root,family_id_immediate,edge_structure_pattern,layout,edge_status,edge_confidence,edge_dispute_flag,source_reference,anchor_in_population,anchor_char_raw,phonophore_root_raw,added_component_raw,edge_structure_pattern_raw,anchor_char_normalized,added_component_normalized,edge_structure_pattern_normalized,normalization_applied,normalization_map_id,normalization_rule_category,normalization_confidence,normalization_notes,phonophore_root_normalized,normalization_collapse_group,normalization_collapse_flag
EDGE-00588,比,仳,亻,phonophore,structural_remainder_presumed_semantic,比,1,ROOT-6BD4,IMM-6BD4,⿰亻比,left-right,eligible_direct,high,False,CJKVI ids-analysis: 比聲,True,比,比,亻,⿰亻比,比,亻,⿰亻比,False,,,not_applicable,No accepted mapping applied.,比,COLLAPSE-03841,False
EDGE-00589,坒,陛,阝,phonophore,structural_remainder_presumed_semantic,坒,1,ROOT-5752,IMM-5752,⿰阝坒,left-right,missing_anchor_from_frozen_population,high,False,CJKVI ids-analysis: 坒聲,False,坒,坒,阝,⿰阝坒,坒,阝,⿰阝坒,False,,,not_applicable,No accepted mapping applied.,坒,COLLAPSE-01875,False
EDGE-00590,比,妣,女,phonophore,structural_remainder_presumed_semantic,比,1,ROOT-6BD4,IMM-6BD4,⿰女比,left-right,eligible_direct,high,False,CJKVI ids-analysis: 比聲,True,比,比,女,⿰女比,比,女,⿰女比,False,,,not_applicable,No accepted mapping applied.,比,COLLAPSE-03842,False
EDGE-00591,比,屁,尸,phonophore,structural_remainder_presumed_semantic,比,1,ROOT-6BD4,IMM-6BD4,⿸尸比,surround-upper-left,eligible_direct,high,False,CJKVI ids-analysis: 比聲,True,比,比,尸,⿸尸比,比,尸,⿸尸比,False,,,not_applicable,No accepted mapping applied.,比,COLLAPSE-03843,False
EDGE-00592,比,庇,广,phonophore,structural_remainder_presumed_semantic,比,1,ROOT-6BD4,IMM-6BD4,⿸广比,surround-upper-left,eligible_direct,high,False,CJKVI ids-analysis: 比聲,True,比,比,广,⿸广比,比,广,⿸广比,False,,,not_applicable,No accepted mapping applied.,比,COLLAPSE-03844,False
EDGE-00593,比,批,扌,phonophore,structural_remainder_presumed_semantic,比,1,ROOT-6BD4,IMM-6BD4,⿰扌比,left-right,eligible_direct,high,False,CJKVI ids-analysis: 比聲,True,比,比,扌,⿰扌比,比,扌,⿰扌比,False,,,not_applicable,No accepted mapping applied.,比,COLLAPSE-03845,False
EDGE-00594,比,枇,木,phonophore,structural_remainder_presumed_semantic,比,1,ROOT-6BD4,IMM-6BD4,⿰木比,left-right,eligible_direct,high,False,CJKVI ids-analysis: 比聲,True,比,比,木,⿰木比,比,木,⿰木比,False,,,not_applicable,No accepted mapping applied.,比,COLLAPSE-03846,False
EDGE-00595,𣬉,媲,女,phonophore,structural_remainder_presumed_semantic,𣬉,1,ROOT-23B09,IMM-23B09,⿰女𣬉,left-right,missing_anchor_from_frozen_population,high,False,CJKVI ids-analysis: 𣬉聲,False,𣬉,𣬉,女,⿰女𣬉,𣬉,女,⿰女𣬉,False,,,not_applicable,No accepted mapping applied.,𣬉,COLLAPSE-06132,False
EDGE-00596,𣬉,篦,竹,phonophore,structural_remainder_presumed_semantic,𣬉,1,ROOT-23B09,IMM-23B09,⿱竹𣬉,top-bottom,missing_anchor_from_frozen_population,high,False,CJKVI ids-analysis: 𣬉聲,False,𣬉,𣬉,竹,⿱竹𣬉,𣬉,竹,⿱竹𣬉,False,,,not_applicable,No accepted mapping applied.,𣬉,COLLAPSE-06133,False
EDGE-00597,𣬉,膍,肉,phonophore,structural_remainder_presumed_semantic,𣬉,1,ROOT-23B09,IMM-23B09,⿰肉𣬉,left-right,missing_anchor_from_frozen_population,high,False,CJKVI ids-analysis: 𣬉聲,False,𣬉,𣬉,肉,⿰肉𣬉,𣬉,肉,⿰肉𣬉,False,,,not_applicable,No accepted mapping applied.,𣬉,COLLAPSE-06134,False
