model,channel,support_threshold,n_heldout_cases,n_p_root_families,n_distinct_mapped_s_contexts,candidate_count,percent_rank_improved,percent_rank_worsened,percent_rank_tied,top1_rescues,top1_losses,top1_net,baseline_recall_at_1,baseline_recall_at_5,baseline_recall_at_10,baseline_mrr,baseline_median_rank,baseline_mean_rank,offset_recall_at_1,offset_recall_at_5,offset_recall_at_10,offset_mrr,offset_median_rank,offset_mean_rank,recall_at_1_gain,recall_at_5_gain,recall_at_10_gain,human_interpretation
qwen3_0.6b_1024d,en_gloss_unihan,3,4186,448,211,9152,59.14954610606784,40.13377926421405,0.716674629718108,19,5,14,0.003105590062111801,0.009555661729574774,0.015527950310559006,0.010010687294743576,1280.0,2334.246536072623,0.006450071667462972,0.032250358337314856,0.04897276636407071,0.022776914216557753,1217.0,2266.4027711419017,0.003344481605351171,0.02269469660774008,0.033444816053511704,"Across 4,186 held-out members of P families, the correct derived character was rank 1 in 0.31% using S alone and 0.65% after adding r_P."
qwen3_0.6b_1024d,en_gloss_unihan,5,3577,312,203,9152,60.162147050601064,39.138943248532286,0.698909700866648,19,4,15,0.0027956388034665923,0.010064299692479732,0.016214705060106235,0.01008141653767868,1249.0,2317.289348616159,0.00698909700866648,0.033547665641599105,0.05060106234274532,0.023773117756825387,1164.0,2238.67766284596,0.004193458205199888,0.023483365949119372,0.034386357282639085,
qwen3_0.6b_1024d,en_gloss_unihan,8,2667,181,190,9152,61.11736032995876,38.13273340832396,0.7499062617172854,14,3,11,0.0026246719160104987,0.010498687664041995,0.01687289088863892,0.010371558078090447,1246.0,2292.4469441319834,0.006749156355455568,0.03562054743157105,0.05174353205849269,0.024367333623713617,1177.0,2211.1229846269216,0.004124484439445069,0.025121859767529058,0.03487064116985377,
qwen3_0.6b_1024d,zh_char,3,4763,474,220,11150,67.83539785849256,30.883896703758136,1.2807054377493177,13,2,11,0.004828889355448247,0.01637623346630275,0.0258240604660928,0.014348931181792054,1277.0,2345.711946252362,0.007138358177619148,0.023514591643921896,0.03905101826579887,0.020437746069697275,842.0,2000.8545034642032,0.002309468822170901,0.007138358177619146,0.01322695779970607,"Across 4,763 held-out members of P families, the correct derived character was rank 1 in 0.48% using S alone and 0.71% after adding r_P."
qwen3_0.6b_1024d,zh_char,5,4181,346,215,11150,68.38077015068166,30.208084190385076,1.4111456589332696,12,2,10,0.0052618990672088015,0.017699115044247787,0.0272662042573547,0.014986907776180738,1255.0,2318.050466395599,0.00765367137048553,0.024156900263094954,0.03994259746472136,0.02112794417247797,838.0,1964.3405883759865,0.0023917723032767287,0.006457785218847167,0.012676393207366663,
qwen3_0.6b_1024d,zh_char,8,3313,220,201,11150,68.63869604587987,29.821913673407785,1.5393902807123452,9,1,8,0.005131300935707818,0.017506791427709025,0.028071234530636886,0.015145431642865952,1222.0,2293.3468155750074,0.007546030787805615,0.02444913975249019,0.04195593118019922,0.021532359540501003,834.0,1940.024147298521,0.002414729852097797,0.006942348324781165,0.013884696649562333,
qwen3_4b_2560d_int8,cn_def,3,2398,320,177,6039,53.044203502919096,44.28690575479566,2.6688907422852375,5,2,3,0.0050041701417848205,0.02793994995829858,0.04670558798999166,0.021145921551592197,1051.0,1691.802752293578,0.006255212677231026,0.02627189324437031,0.048790658882402,0.0217352451285033,995.0,1597.2944120100083,0.0012510425354462056,-0.0016680567139282718,0.0020850708924103414,"Across 2,398 held-out members of P families, the correct derived character was rank 1 in 0.50% using S alone and 0.63% after adding r_P."
qwen3_4b_2560d_int8,cn_def,5,1804,185,164,6039,52.60532150776053,44.345898004434595,3.048780487804878,3,0,3,0.004988913525498891,0.027161862527716185,0.04767184035476718,0.020875480545381155,1056.0,1679.889689578714,0.0066518847006651885,0.026607538802660754,0.048226164079822616,0.02163785058229233,1005.0,1590.7976718403547,0.0016629711751662973,-0.0005543237250554313,0.0005543237250554348,
qwen3_4b_2560d_int8,cn_def,8,1112,86,135,6039,53.68705035971223,42.89568345323741,3.41726618705036,2,0,2,0.0044964028776978415,0.029676258992805755,0.052158273381294966,0.021981609746400652,1114.5,1717.6205035971223,0.006294964028776978,0.02877697841726619,0.053057553956834536,0.022429692218715276,993.5,1595.946942446043,0.0017985611510791368,-0.0008992805755395662,0.0008992805755395697,
qwen3_4b_2560d_int8,en_def_translated_cn_def,3,2398,320,177,6039,52.835696413678065,44.78732276897415,2.37698081734779,5,3,2,0.0045871559633027525,0.02835696413678065,0.04670558798999166,0.020086956369529993,1205.0,1808.9416180150124,0.005421184320266889,0.027522935779816515,0.04795663052543787,0.020795507575675675,1203.5,1766.7356130108424,0.0008340283569641367,-0.0008340283569641359,0.001251042535446209,"Across 2,398 held-out members of P families, the correct derived character was rank 1 in 0.46% using S alone and 0.54% after adding r_P."
qwen3_4b_2560d_int8,en_def_translated_cn_def,5,1804,185,164,6039,54.490022172949004,43.23725055432372,2.272727272727273,4,3,1,0.004988913525498891,0.027161862527716185,0.046008869179600884,0.01982418828664793,1190.0,1810.3752771618626,0.005543237250554324,0.026607538802660754,0.04767184035476718,0.020630388227253053,1192.0,1761.1635254988914,0.000554323725055433,-0.0005543237250554313,0.0016629711751662973,
qwen3_4b_2560d_int8,en_def_translated_cn_def,8,1112,86,135,6039,55.03597122302158,42.62589928057554,2.338129496402878,3,2,1,0.00539568345323741,0.02877697841726619,0.047661870503597124,0.020685762268350213,1186.0,1863.7742805755395,0.006294964028776978,0.02787769784172662,0.048561151079136694,0.021174475453920538,1172.0,1792.7904676258993,0.000899280575539568,-0.0008992805755395697,0.0008992805755395697,
qwen3_4b_2560d_int8,en_gloss_unihan,3,4186,448,211,9152,59.19732441471572,39.512661251791684,1.2900143334925944,17,5,12,0.006211180124223602,0.019827998088867656,0.02866698518872432,0.017245555915943733,970.0,2136.7651696129956,0.009077878643096034,0.03153368370759675,0.053989488772097464,0.026349580840319492,938.5,2041.6063067367415,0.002866698518872432,0.011705685618729096,0.025322503583373145,"Across 4,186 held-out members of P families, the correct derived character was rank 1 in 0.62% using S alone and 0.91% after adding r_P."
qwen3_4b_2560d_int8,en_gloss_unihan,5,3577,312,203,9152,60.10623427453174,38.551859099804304,1.3419066256639642,15,4,11,0.0061504053676265024,0.019849035504612804,0.02907464355605256,0.01743676383773983,938.0,2132.9756779424097,0.009225608051439753,0.03270897400055913,0.05703103159071848,0.027041442773636803,871.0,2026.5146771037182,0.003075202683813251,0.012859938495946327,0.027956388034665918,
qwen3_4b_2560d_int8,en_gloss_unihan,8,2667,181,190,9152,61.19235095613048,37.30783652043495,1.4998125234345707,10,4,6,0.006749156355455568,0.021747281589801274,0.03262092238470191,0.01848616803437647,969.0,2163.607424071991,0.008998875140607425,0.03524559430071241,0.05924259467566554,0.02742300185574601,900.0,2046.3520809898762,0.002249718785151857,0.013498312710911137,0.026621672290963627,
qwen3_4b_2560d_int8,zh_char,3,4763,474,220,11150,69.87192945622508,28.406466512702078,1.721604031072853,27,5,22,0.006928406466512702,0.025614108754986355,0.044089859332353556,0.02234055357462157,526.0,1831.0401007768214,0.011547344110854504,0.042410245643501994,0.07453285744278816,0.03509346321582081,313.0,1572.6099097207643,0.004618937644341801,0.01679613688851564,0.030442998110434605,"Across 4,763 held-out members of P families, the correct derived character was rank 1 in 0.69% using S alone and 1.15% after adding r_P."
qwen3_4b_2560d_int8,zh_char,5,4181,346,215,11150,69.887586701746,28.390337239894762,1.7220760583592443,25,4,21,0.006936139679502512,0.02654867256637168,0.04687873714422387,0.02284148833713117,532.0,1823.29921071514,0.01195886151638364,0.04329107868930878,0.07534082755321693,0.03566993569542949,313.0,1568.0210475962688,0.005022721836881129,0.0167424061229371,0.028462090408993057,
qwen3_4b_2560d_int8,zh_char,8,3313,220,201,11150,69.99698158768489,28.191971023241774,1.8110473890733476,19,4,15,0.006036824630244492,0.028071234530636886,0.04829459704195593,0.022591193394912296,550.0,1825.7736190763658,0.01056444310292786,0.043766978569272565,0.07425294295200724,0.03437332612932502,326.0,1588.789616661636,0.004527618472683369,0.01569574403863568,0.025958345910051306,
