model,channel,support_threshold,matched_n,candidate_count,p_side_baseline_recall_at_1,p_side_offset_recall_at_1,p_side_recall_at_1_gain,p_side_baseline_recall_at_5,p_side_offset_recall_at_5,p_side_recall_at_5_gain,p_side_baseline_recall_at_10,p_side_offset_recall_at_10,p_side_recall_at_10_gain,p_side_baseline_mrr,p_side_offset_mrr,p_side_baseline_median_rank,p_side_offset_median_rank,p_side_baseline_mean_rank,p_side_offset_mean_rank,p_side_percent_rank_improved,p_side_top1_rescues,p_side_top1_losses,s_side_baseline_recall_at_1,s_side_offset_recall_at_1,s_side_recall_at_1_gain,s_side_baseline_recall_at_5,s_side_offset_recall_at_5,s_side_recall_at_5_gain,s_side_baseline_recall_at_10,s_side_offset_recall_at_10,s_side_recall_at_10_gain,s_side_baseline_mrr,s_side_offset_mrr,s_side_baseline_median_rank,s_side_offset_median_rank,s_side_baseline_mean_rank,s_side_offset_mean_rank,s_side_percent_rank_improved,s_side_top1_rescues,s_side_top1_losses
bge_m3_1024d,zh_char,5,3682,11150,0.0027159152634437804,0.0032590983161325366,0.0005431830526887562,0.014122759369907659,0.010863661053775122,-0.003259098316132537,0.023628462791960892,0.017653449212384573,-0.005975013579576319,0.010496840289192457,0.0081055349255267,4688.0,5613.0,4645.483161325366,5032.6575230852795,68.8212927756654,5,3,0.008690928843020097,0.00977729494839761,0.0010863661053775123,0.013851167843563281,0.016567083107007063,0.0027159152634437817,0.021184139054861488,0.020369364475828353,-0.0008147745790331347,0.012804791055258865,0.013616544573055727,5042.0,5621.5,4987.103204780011,5055.190385659967,74.25312330255296,6,2
bge_m3_1024d,zh_char,8,2957,11150,0.003043625295908015,0.0033818058843422386,0.00033818058843422365,0.015556307067974298,0.010821778829895164,-0.0047345282380791345,0.02434900236726412,0.01657084883327697,-0.007778153533987149,0.01121590205114898,0.007970706084996242,4552.0,5619.0,4602.365911396686,5054.958741968211,68.21102468718296,4,3,0.009130875887724045,0.010145417653026716,0.001014541765302671,0.013865404125803178,0.016909029421711193,0.0030436252959080146,0.021305377071356105,0.020629015894487658,-0.0006763611768684473,0.013110342284352523,0.014063000605111002,5116.0,5629.0,5032.263780858979,5085.850185999324,74.12918498478187,5,2
gte_multilingual_base_768d,cn_def,3,1933,6039,0.005173305742369374,0.005690636316606311,0.0005173305742369374,0.02379720641489912,0.02224521469218831,-0.0015519917227108104,0.03569580962234868,0.04086911536471805,0.00517330574236937,0.019050899636348317,0.019792175727957228,1058.0,953.0,1815.3678220382824,1675.823590274185,56.07863424728401,3,2,0.0031039834454216243,0.0036213140196585617,0.0005173305742369374,0.008794619762027936,0.012933264355923435,0.004138644593895499,0.011381272633212623,0.02017589239524056,0.008794619762027937,0.007288334826478967,0.013258720704836427,2574.0,870.0,2745.3217796171753,1563.3698913605795,84.89394723228143,2,1
gte_multilingual_base_768d,cn_def,5,1505,6039,0.004651162790697674,0.005980066445182724,0.0013289036544850497,0.02458471760797342,0.022591362126245847,-0.0019933554817275732,0.035880398671096346,0.03986710963455149,0.0039867109634551465,0.018988617646209405,0.02008897280381302,1048.0,950.0,1797.3906976744186,1653.5687707641196,57.3421926910299,3,1,0.0026578073089701,0.0033222591362126247,0.0006644518272425248,0.005980066445182724,0.011960132890365448,0.005980066445182724,0.008637873754152824,0.019933554817275746,0.011295681063122922,0.005757373554246728,0.012364322786386986,2571.0,945.0,2757.9594684385384,1584.3362126245847,85.3156146179402,2,1
gte_multilingual_base_768d,cn_def,8,944,6039,0.00423728813559322,0.005296610169491525,0.0010593220338983049,0.024364406779661018,0.023305084745762712,-0.0010593220338983057,0.037076271186440676,0.03919491525423729,0.0021186440677966115,0.01840021168261146,0.01937918426067022,1026.5,927.0,1778.9830508474577,1647.0783898305085,57.521186440677965,1,0,0.0031779661016949155,0.0031779661016949155,0.0,0.007415254237288136,0.014830508474576272,0.007415254237288136,0.00847457627118644,0.020127118644067795,0.011652542372881354,0.006328554938080965,0.012598745104378434,2621.0,949.5,2766.736228813559,1603.531779661017,84.53389830508475,1,1
gte_multilingual_base_768d,en_def_translated_cn_def,3,1933,6039,0.0046559751681324365,0.005690636316606311,0.0010346611484738748,0.020693222969477496,0.018623900672529746,-0.0020693222969477496,0.03776513191929643,0.03414381789963787,-0.00362131401965856,0.01782425581696897,0.017757198815315477,1045.0,1039.0,1760.1034661148474,1661.6083807553027,53.698913605794104,3,1,0.002586652871184687,0.0036213140196585617,0.0010346611484738748,0.008794619762027936,0.015519917227108122,0.006725297465080186,0.015519917227108122,0.02431453698913606,0.008794619762027937,0.007005414514109428,0.013461668528491679,2699.0,909.0,2800.260217278841,1531.587170201759,83.80755302638386,3,1
gte_multilingual_base_768d,en_def_translated_cn_def,5,1505,6039,0.003986710963455149,0.0053156146179402,0.0013289036544850506,0.022591362126245847,0.019933554817275746,-0.002657807308970101,0.03920265780730897,0.037209302325581395,-0.0019933554817275767,0.01826928096998417,0.018351254612952794,1045.0,1059.0,1763.317607973422,1653.8372093023256,54.81727574750831,3,1,0.00132890365448505,0.0033222591362126247,0.001993355481727575,0.007308970099667774,0.014617940199335547,0.007308970099667774,0.011960132890365448,0.022591362126245847,0.0106312292358804,0.005490453786963572,0.012641197080119416,2668.0,909.0,2809.4544850498337,1541.9388704318937,83.9202657807309,3,0
gte_multilingual_base_768d,en_def_translated_cn_def,8,944,6039,0.0031779661016949155,0.00423728813559322,0.0010593220338983049,0.018008474576271187,0.01694915254237288,-0.0010593220338983057,0.036016949152542374,0.037076271186440676,0.0010593220338983023,0.016516077517162962,0.016842271970074027,994.0,1036.0,1766.8082627118645,1652.656779661017,56.46186440677966,1,0,0.0,0.00211864406779661,0.00211864406779661,0.00847457627118644,0.015889830508474576,0.007415254237288135,0.012711864406779662,0.026483050847457626,0.013771186440677964,0.0048845609334968645,0.012978111532766895,2631.0,869.0,2787.8866525423728,1519.6239406779662,83.58050847457628,2,0
gte_multilingual_base_768d,en_gloss_unihan,3,3636,9152,0.0013751375137513752,0.005775577557755775,0.0044004400440044,0.007975797579757976,0.0242024202420242,0.016226622662266224,0.01595159515951595,0.039603960396039604,0.023652365236523653,0.008288370495321471,0.019289466946049074,1298.5,1100.5,2362.7329482948294,2166.6427392739274,62.348734873487345,16,0,0.004125412541254125,0.005775577557755775,0.0016501650165016502,0.0088008800880088,0.016226622662266228,0.007425742574257427,0.0121012101210121,0.02585258525852585,0.01375137513751375,0.007889357968106707,0.014435097957001835,4165.0,1229.0,4268.755775577558,2124.4961496149617,87.78877887788778,7,1
gte_multilingual_base_768d,en_gloss_unihan,5,3142,9152,0.001591343093570974,0.00668364099299809,0.005092297899427116,0.009229789942711649,0.024506683640993,0.01527689369828135,0.016549968173138127,0.04073838319541693,0.0241884150222788,0.008813487902546211,0.020260282723265976,1279.0,1077.5,2347.0738383195417,2135.1645448758754,63.430935709739025,16,0,0.002864417568427753,0.003500954805856143,0.0006365372374283898,0.007001909611712286,0.013685550604710375,0.006683640992998089,0.009548058561425843,0.023551877784850413,0.01400381922342457,0.006219809103622096,0.012093692023803478,4236.0,1250.5,4319.991088478676,2146.9223424570337,88.0649267982177,3,1
