model,channel,minimum_other_training_families,eligible_heldout_edges,candidate_anchor_count,candidate_character_count,inverse_percent_rank_improved,inverse_percent_rank_worsened,inverse_top1_rescues,inverse_top1_losses,inverse_net_top1_gain,inverse_baseline_recall_at_1,inverse_baseline_recall_at_5,inverse_baseline_recall_at_10,inverse_baseline_mrr,inverse_baseline_median_rank,inverse_offset_recall_at_1,inverse_offset_recall_at_5,inverse_offset_recall_at_10,inverse_offset_mrr,inverse_offset_median_rank,inverse_baseline_mean_percentile_rank,inverse_offset_mean_percentile_rank,forward_baseline_recall_at_1,forward_baseline_recall_at_5,forward_baseline_recall_at_10,forward_baseline_mrr,forward_baseline_median_rank,forward_offset_recall_at_1,forward_offset_recall_at_5,forward_offset_recall_at_10,forward_offset_mrr,forward_offset_median_rank,human_interpretation,uniform_top1_reference
gte_multilingual_base_768d,en_gloss_unihan,8,4472,1155,9152,55.4561717352415,41.77101967799642,12,8,4,0.012522361359570662,0.03398926654740608,0.04516994633273703,0.026376985266289666,517.0,0.013416815742397137,0.03287119856887299,0.04293381037567084,0.026861707282927413,505.0,0.5428035951795575,0.5548616773577477,0.005590339892665474,0.012298747763864044,0.016547406082289804,0.010179221582029968,4081.5,0.0073792486583184255,0.01900715563506261,0.03018783542039356,0.01644606433228639,1200.5,,
gte_multilingual_base_768d,zh_char,3,5240,1171,11150,57.38549618320611,35.43893129770993,15,13,2,0.01698473282442748,0.038931297709923665,0.052290076335877865,0.03141206425765481,460.0,0.017366412213740457,0.03816793893129771,0.05362595419847328,0.032766041039282726,436.5,0.5787223527109023,0.5891386116004436,0.006870229007633588,0.01698473282442748,0.02232824427480916,0.012416245288797777,5073.5,0.008396946564885497,0.017938931297709924,0.02251908396946565,0.013674400561954016,5631.5,"Across 5,240 held-out cases, the correct phonophore/source anchor was rank 1 in 1.70% before relation subtraction and 1.74% afterward.",0.0008539709649871904
gte_multilingual_base_768d,zh_char,5,5179,1171,11150,57.501448156014675,35.25777177061209,15,13,2,0.017184784707472485,0.03938984359915042,0.05290596640278046,0.0317258780828873,460.0,0.017570959644719056,0.03861749372465727,0.05406449121452018,0.033072949069870364,434.0,0.5788079076744842,0.58970959314655,0.006951148870438309,0.017184784707472485,0.022591233828924504,0.012552215845501447,5082.0,0.008495848619424599,0.018150222050588916,0.022784321297547788,0.013815111541225132,5633.0,,
gte_multilingual_base_768d,zh_char,8,5073,1171,11150,57.658190419869904,35.14685590380445,15,13,2,0.01714961561206387,0.03903015966883501,0.05282870096589789,0.0315714883814548,460.0,0.017543859649122806,0.03824167159471713,0.05381431105854524,0.03297502879951191,431.0,0.579691377680733,0.5909591755245215,0.006899270648531441,0.016952493593534398,0.02227478809383008,0.012381963334661076,5090.0,0.00867336881529667,0.018135225704711218,0.02286615414941849,0.013897932091863695,5633.0,,
qwen3_0.6b_1024d,cn_def,3,2960,1053,6039,54.560810810810814,43.310810810810814,4,7,-3,0.011824324324324325,0.02195945945945946,0.034797297297297296,0.021867601192386506,480.0,0.010810810810810811,0.0222972972972973,0.033783783783783786,0.021835144892523826,469.5,0.5332937262357413,0.5401172798273558,0.0057432432432432436,0.0125,0.014527027027027028,0.009989618922573766,2868.5,0.007094594594594595,0.019594594594594596,0.027702702702702704,0.016709362820763518,765.5,"Across 2,960 held-out cases, the correct phonophore/source anchor was rank 1 in 1.18% before relation subtraction and 1.08% afterward.",0.000949667616334283
qwen3_0.6b_1024d,cn_def,5,2883,1053,6039,54.59590704127645,43.21886923343739,4,7,-3,0.012140131807145335,0.022199098161637183,0.03503295178633368,0.022212400450895568,482.0,0.011099549080818592,0.022545959070412763,0.03399236906000694,0.022105605724698305,470.0,0.5329989356777437,0.5402302602511907,0.005896635449184877,0.012833853624696497,0.014568158168574402,0.010162580220609467,2879.0,0.007284079084287201,0.019771071800208116,0.027402011793270897,0.01686592707661517,761.0,,
qwen3_0.6b_1024d,cn_def,8,2790,1053,6039,54.91039426523297,42.867383512544805,4,7,-3,0.012544802867383513,0.022939068100358423,0.03620071684587814,0.0227952477898903,481.0,0.011469534050179211,0.023297491039426525,0.03512544802867384,0.022698390952469498,466.5,0.5346201807105769,0.5423433092113333,0.0060931899641577065,0.013261648745519713,0.015053763440860216,0.010473893689779109,2866.5,0.007526881720430108,0.01935483870967742,0.026523297491039426,0.016851422406742696,781.0,,
qwen3_0.6b_1024d,en_def_translated_cn_def,3,2960,1053,6039,54.59459459459459,43.37837837837838,4,4,0,0.008783783783783784,0.023986486486486488,0.02972972972972973,0.019482778052659452,489.5,0.008783783783783784,0.022635135135135136,0.030405405405405407,0.019286081006547308,477.0,0.529759274483609,0.5346470044188675,0.004054054054054054,0.007770270270270271,0.012162162162162163,0.007516423712576208,2867.5,0.00472972972972973,0.013851351351351352,0.022635135135135136,0.013530080691382302,997.5,"Across 2,960 held-out cases, the correct phonophore/source anchor was rank 1 in 0.88% before relation subtraction and 0.88% afterward.",0.000949667616334283
qwen3_0.6b_1024d,en_def_translated_cn_def,5,2883,1053,6039,54.630593132154004,43.322927506070066,4,4,0,0.008671522719389525,0.023933402705515087,0.029830038154699964,0.019407631220354177,489.0,0.008671522719389525,0.022892819979188347,0.030870620881026708,0.019315735141557714,476.0,0.5300113817857138,0.5345403565413616,0.004162330905306972,0.007630939993062782,0.012140131807145335,0.007483807207670595,2865.0,0.004856052722858134,0.013527575442247659,0.022199098161637183,0.013436174748183876,993.0,,
qwen3_0.6b_1024d,en_def_translated_cn_def,8,2790,1053,6039,54.76702508960574,43.15412186379928,4,4,0,0.008960573476702509,0.024731182795698924,0.03082437275985663,0.019910745359045256,480.5,0.008960573476702509,0.023655913978494623,0.03189964157706093,0.01976967469469116,473.0,0.5325711735284898,0.5371485615383567,0.004301075268817204,0.007885304659498209,0.012544802867383513,0.007693325783462838,2863.5,0.005017921146953405,0.013261648745519713,0.02114695340501792,0.013147704859736941,1016.0,,
qwen3_0.6b_1024d,en_gloss_unihan,3,4648,1155,9152,56.90619621342513,40.85628227194492,10,8,2,0.008820998278829604,0.026462994836488812,0.03700516351118761,0.021174383564185197,555.0,0.009251290877796902,0.02667814113597246,0.03700516351118761,0.021948198117224118,543.0,0.5185389366328895,0.5300682800526194,0.004733218588640275,0.009036144578313253,0.012048192771084338,0.008152473774683335,4199.5,0.00580895008605852,0.015920826161790018,0.027969018932874356,0.015026559323888014,1174.0,"Across 4,648 held-out cases, the correct phonophore/source anchor was rank 1 in 0.88% before relation subtraction and 0.93% afterward.",0.0008658008658008658
qwen3_0.6b_1024d,en_gloss_unihan,5,4585,1155,9152,57.033805888767716,40.697928026172306,10,8,2,0.008942202835332607,0.026608505997818974,0.03707742639040349,0.021326118807492675,554.0,0.009378407851690295,0.027044711014176662,0.03751363140676118,0.02217976238340354,540.0,0.519035208246316,0.5307817481842115,0.004798255179934569,0.008942202835332607,0.011995637949836423,0.00819810034148485,4202.0,0.0058887677208287895,0.015485278080697927,0.02748091603053435,0.014951121726725823,1168.0,,
qwen3_0.6b_1024d,en_gloss_unihan,8,4472,1155,9152,57.26744186046512,40.45169946332737,10,7,3,0.008944543828264758,0.026610017889087657,0.03711985688729875,0.021381220667957224,551.5,0.009615384615384616,0.02728085867620751,0.0377906976744186,0.022445310345474336,537.5,0.5209977816911233,0.5327869074821032,0.004472271914132379,0.00872093023255814,0.011851520572450805,0.007935821605711204,4172.5,0.005366726296958855,0.014311270125223614,0.0259391771019678,0.014158486550079546,1156.0,,
qwen3_0.6b_1024d,zh_char,3,5240,1171,11150,58.530534351145036,39.408396946564885,23,19,4,0.013549618320610687,0.03206106870229008,0.04751908396946565,0.028282234791427593,381.0,0.01431297709923664,0.03797709923664122,0.05458015267175573,0.031998541993973006,351.5,0.6232868467410452,0.6355643635414627,0.005152671755725191,0.011068702290076336,0.013740458015267175,0.00938572221246432,3848.5,0.011068702290076336,0.025572519083969465,0.04179389312977099,0.022980949425143744,996.0,"Across 5,240 held-out cases, the correct phonophore/source anchor was rank 1 in 1.35% before relation subtraction and 1.43% afterward.",0.0008539709649871904
qwen3_0.6b_1024d,zh_char,5,5179,1171,11150,58.69859046147905,39.235373624251785,23,19,4,0.013516122803630045,0.032052519791465534,0.047692604749951725,0.028282012730590392,379.0,0.01428847267812319,0.0382313187874107,0.05502992855763661,0.03208257080808357,350.0,0.6242567370198188,0.636873765354167,0.005213361652828732,0.011199073180150608,0.013902297740876618,0.009471866305669055,3839.0,0.011005985711527323,0.025680633326897084,0.041899980691253134,0.02295266736201001,989.0,,
qwen3_0.6b_1024d,zh_char,8,5073,1171,11150,58.900059136605556,39.030159668835005,23,18,5,0.013404297260003943,0.03213088902030357,0.048097772521190615,0.028277007092776425,378.0,0.01438990735265129,0.0384387936132466,0.05519416518825153,0.0322822963544166,349.0,0.6242008555432564,0.636874790452555,0.005322294500295683,0.011235955056179775,0.013798541297062882,0.009504166558653928,3864.0,0.011235955056179775,0.026020106445890007,0.042184111965306526,0.023252025866185813,974.0,,
qwen3_4b_2560d_int8,cn_def,3,2960,1053,6039,54.66216216216216,42.9054054054054,7,2,5,0.0125,0.026351351351351353,0.03412162162162162,0.02324874067624451,464.0,0.01418918918918919,0.02702702702702703,0.034797297297297296,0.024973550123317412,460.5,0.5384961720275409,0.5455991162264926,0.005405405405405406,0.0125,0.016554054054054055,0.01010825305625497,2761.5,0.005067567567567568,0.018581081081081082,0.028040540540540542,0.016569079879577394,821.5,"Across 2,960 held-out cases, the correct phonophore/source anchor was rank 1 in 1.25% before relation subtraction and 1.42% afterward.",0.000949667616334283
qwen3_4b_2560d_int8,cn_def,5,2883,1053,6039,54.699965313909125,42.8026361429067,6,2,4,0.012833853624696497,0.026708289975719737,0.0346860908775581,0.023612631494578283,466.0,0.01422129725979882,0.027402011793270897,0.03537981269510926,0.0251588789057405,460.0,0.5382958182818119,0.5454862581093575,0.005549774540409296,0.012833853624696497,0.01699618453000347,0.01030226760655396,2773.0,0.005202913631633715,0.019077349982656956,0.02844259451959764,0.016777992922306254,811.0,,
qwen3_4b_2560d_int8,cn_def,8,2790,1053,6039,55.053763440860216,42.365591397849464,6,2,4,0.013261648745519713,0.02724014336917563,0.035483870967741936,0.024155474967900055,463.0,0.014695340501792114,0.02795698924731183,0.035842293906810034,0.025782980459397156,455.0,0.5400043610395628,0.5481451953609441,0.005734767025089606,0.013261648745519713,0.01756272401433692,0.010611556506688895,2761.5,0.005376344086021506,0.01935483870967742,0.02724014336917563,0.01672303753624025,821.5,,
