channel,relation_class,models,mean_offset_consistency,mean_forward_mrr,mean_inverse_mrr
cn_def,見,4,0.12175771640613672,0.04038242858445708,0.011683400580582301
cn_def,角,4,,,
cn_def,言,4,0.1756102210421552,0.014543127600950001,0.04702479176267653
cn_def,谷,4,,,
cn_def,豆,4,,,
cn_def,豕,4,,,
cn_def,象,4,,,
cn_def,豸,4,0.4074204074484961,0.051586478808523926,0.003079468270733
cn_def,貝,4,0.20663986658522232,0.0080929017981975,0.0062438785963426745
cn_def,赤,4,,,
cn_def,走,4,0.05904806352918962,0.003711043325177325,0.003246490887968625
cn_def,足,4,,,
cn_def,身,4,,,
cn_def,車,4,0.2354354275995865,0.0069851893397621,0.01025379948579835
cn_def,辛,4,,,
cn_def,辶,4,0.19588532751479826,0.003250801813626825,0.012504260258301701
cn_def,邑,4,,,
cn_def,酉,4,0.18600305500440295,0.005248132103659325,0.00940465187985625
cn_def,釆,4,,,
cn_def,里,4,,,
cn_def,釒,4,0.24928810445205518,0.0073201692095436,0.02593762161634925
cn_def,門,4,0.12288469453342254,0.046812942561499024,0.053805192753514974
cn_def,阝,4,0.14873133223190216,0.02344700998337555,0.045172627311867074
cn_def,隹,4,0.04972222582860422,0.003056196037836325,0.0086400914572688
cn_def,雈,4,,,
cn_def,雨,4,0.2746153574182906,0.0215816289450402,0.04889152531751655
cn_def,非,4,,,
cn_def,面,4,,,
cn_def,革,4,0.20099790464155373,0.0242505185220217,0.0632451180972683
cn_def,韋,4,,,
cn_def,韮,4,,,
cn_def,音,4,,,
cn_def,頁,4,0.1158021767623722,0.003535835826986875,0.0044449864565006495
cn_def,風,4,0.23017899552360177,0.010600885354431901,0.0032103460205448
cn_def,食,4,0.028770556062227073,0.002435252102310825,0.002673449648935175
cn_def,飠,4,0.22975035600988614,0.007164997434306625,0.007220369342013675
cn_def,首,4,,,
cn_def,馬,4,0.23471045772145896,0.004719411244712625,0.007214236461749925
cn_def,骨,4,0.32662871914605296,0.11245145383032815,0.005082714424854925
cn_def,高,4,,,
cn_def,髟,4,0.19246875541284678,0.01975551369420825,0.006467411335914125
cn_def,鬥,4,,,
cn_def,鬼,4,0.17814030451700089,0.003121426144136725,0.002856561440031975
cn_def,魚,4,0.4495168779743835,0.05085799916517762,0.013715919319769024
cn_def,鳥,4,0.44516582337759986,0.07459873868416644,0.00664180350227475
cn_def,鹵,4,,,
cn_def,鹿,4,0.2600595657713711,0.01831258275225205,0.001937834969355325
cn_def,麥,4,,,
cn_def,麻,4,,,
cn_def,黍,4,,,
cn_def,黑,4,0.13133752995636308,0.003273148897899425,0.006539565053876225
cn_def,黹,4,,,
cn_def,黽,4,,,
cn_def,鼎,4,,,
cn_def,鼓,4,,,
cn_def,鼠,4,,,
cn_def,鼻,4,,,
cn_def,齒,4,0.22240666276775295,0.011682779660461724,0.00250995592699555
cn_def,龍,4,,,
cn_def,龠,4,,,
cn_def,𠘨,4,,,
cn_def,𠚕,4,,,
cn_def,𠫓,4,,,
cn_def,𡱕,4,,,
cn_def,𢆶,4,,,
cn_def,𣶒,4,,,
cn_def,𤤴,4,,,
cn_def,𦍌,4,,,
cn_def,𧾷,4,0.26869347254978493,0.0328426012040032,0.04085635992876025
en_def_translated_cn_def,㐬,4,,,
en_def_translated_cn_def,㔾,4,,,
en_def_translated_cn_def,㝱,4,,,
en_def_translated_cn_def,㣺,4,,,
en_def_translated_cn_def,㫃,4,0.21885780191847254,0.014497120846162176,0.00390394678458295
en_def_translated_cn_def,㹜,4,,,
en_def_translated_cn_def,㾜,4,,,
en_def_translated_cn_def,䀠,4,,,
en_def_translated_cn_def,䖵,4,,,
en_def_translated_cn_def,一,4,,,
en_def_translated_cn_def,乑,4,,,
en_def_translated_cn_def,乙,4,,,
en_def_translated_cn_def,二,4,,,
en_def_translated_cn_def,京,4,,,
en_def_translated_cn_def,人,4,,,
en_def_translated_cn_def,亻,4,0.03858412849544745,0.020599955003477975,0.03968205326776665
en_def_translated_cn_def,儿,4,,,
en_def_translated_cn_def,光,4,,,
en_def_translated_cn_def,兮,4,,,
en_def_translated_cn_def,共,4,,,
en_def_translated_cn_def,冂,4,,,
en_def_translated_cn_def,冃,4,,,
en_def_translated_cn_def,冖,4,,,
en_def_translated_cn_def,冫,4,0.22961511726801587,0.017661425384612524,0.0017517197828165
en_def_translated_cn_def,几,4,,,
en_def_translated_cn_def,刀,4,,,
en_def_translated_cn_def,刂,4,0.2228716257261112,0.011892354129444225,0.0046705014379574
en_def_translated_cn_def,力,4,0.13598873716546217,0.00412390139555445,0.0072150981324476254
en_def_translated_cn_def,勹,4,,,
en_def_translated_cn_def,匕,4,,,
en_def_translated_cn_def,匚,4,0.10798330362886188,0.006608273147352024,0.0028818503130893
en_def_translated_cn_def,匸,4,,,
en_def_translated_cn_def,十,4,,,
en_def_translated_cn_def,卂,4,,,
en_def_translated_cn_def,半,4,,,
en_def_translated_cn_def,卜,4,,,
en_def_translated_cn_def,卩,4,,,
en_def_translated_cn_def,卵,4,,,
en_def_translated_cn_def,厂,4,,,
en_def_translated_cn_def,厶,4,,,
en_def_translated_cn_def,又,4,,,
en_def_translated_cn_def,口,4,0.20013810495357404,0.0071575845533845,0.022852069524858125
en_def_translated_cn_def,向,4,,,
en_def_translated_cn_def,喜,4,,,
en_def_translated_cn_def,囗,4,0.11667151581495995,0.003938356792321275,0.00435618361758695
en_def_translated_cn_def,土,4,0.16762417276340505,0.02645242531093275,0.042622602676353025
en_def_translated_cn_def,壬,4,,,
en_def_translated_cn_def,壴,4,,,
en_def_translated_cn_def,夂,4,,,
en_def_translated_cn_def,夕,4,,,
en_def_translated_cn_def,多,4,,,
en_def_translated_cn_def,大,4,0.08682980301091445,0.0012065973786252,0.013768060536819624
en_def_translated_cn_def,夭,4,,,
en_def_translated_cn_def,夸,4,,,
en_def_translated_cn_def,女,4,0.16118008185994634,0.0025872320303567003,0.006565194361591275
en_def_translated_cn_def,子,4,0.21398506301920858,0.0391981313660599,0.003405266632066275
en_def_translated_cn_def,學,4,,,
en_def_translated_cn_def,宀,4,0.0952160046785138,0.0012836081875744001,0.00419678061151505
en_def_translated_cn_def,寸,4,,,
en_def_translated_cn_def,尢,4,,,
en_def_translated_cn_def,尸,4,0.023021480334656574,0.0033037782819809254,0.005417604702285051
en_def_translated_cn_def,尺,4,,,
en_def_translated_cn_def,履,4,,,
en_def_translated_cn_def,山,4,0.25722862850862405,0.016599567765249002,0.009635389772635774
en_def_translated_cn_def,工,4,,,
en_def_translated_cn_def,巾,4,0.17362519121855835,0.005969086559275625,0.022878413779107626
en_def_translated_cn_def,幺,4,,,
en_def_translated_cn_def,广,4,0.1330433030519634,0.00362489581039755,0.01150004063676555
en_def_translated_cn_def,庚,4,,,
en_def_translated_cn_def,廾,4,,,
en_def_translated_cn_def,弓,4,0.10995892320190448,0.00091433160655265,0.004988627084386575
en_def_translated_cn_def,彡,4,0.04597989027388387,0.0031983570448828004,0.013774689580240326
en_def_translated_cn_def,彳,4,0.10748725431039925,0.01735276208128,0.0380593887696635
en_def_translated_cn_def,微,4,,,
en_def_translated_cn_def,心,4,0.18642766770031097,0.024525763574527574,0.03322072307708833
en_def_translated_cn_def,忄,4,0.23418974205269477,0.01122827028273095,0.019640442315896175
en_def_translated_cn_def,恣,4,,,
en_def_translated_cn_def,戈,4,0.11317563545890147,0.001947696251260025,0.003419670762622075
en_def_translated_cn_def,戊,4,,,
en_def_translated_cn_def,戶,4,,,
en_def_translated_cn_def,手,4,0.18022029148414728,0.008256387218411924,0.007347015945548375
en_def_translated_cn_def,扌,4,0.20557118008266487,0.018289436297990423,0.028615744289069524
en_def_translated_cn_def,攴,4,,,
en_def_translated_cn_def,攵,4,0.10670881203675107,0.001578468033087475,0.006039247710865975
en_def_translated_cn_def,敕,4,,,
en_def_translated_cn_def,文,4,,,
en_def_translated_cn_def,斗,4,0.03399065639823675,0.000733968803442975,0.002246962133291825
en_def_translated_cn_def,斤,4,0.020394709019456024,0.0013466681669539499,0.00581961328334815
en_def_translated_cn_def,日,4,0.19997608928113345,0.03758784502831925,0.04335795270889835
en_def_translated_cn_def,旨,4,,,
en_def_translated_cn_def,是,4,,,
en_def_translated_cn_def,曰,4,,,
en_def_translated_cn_def,月,4,0.25476912106387317,0.021654917747665925,0.00394123941877155
en_def_translated_cn_def,木,4,0.22096748508382205,0.01064761057587525,0.017505117955456326
en_def_translated_cn_def,林,4,-0.023588850046508025,0.0006482160595472,0.002745434199801475
en_def_translated_cn_def,欠,4,0.05240396115862363,0.0059317089544826,0.05573567211815812
en_def_translated_cn_def,止,4,,,
en_def_translated_cn_def,步,4,,,
en_def_translated_cn_def,歹,4,0.19075809802267357,0.025952278628626126,0.00362937963207885
en_def_translated_cn_def,死,4,,,
en_def_translated_cn_def,殳,4,,,
en_def_translated_cn_def,比,4,,,
en_def_translated_cn_def,毛,4,0.12343497350811952,0.001691717288061275,0.0043727805653364996
en_def_translated_cn_def,民,4,,,
en_def_translated_cn_def,气,4,,,
en_def_translated_cn_def,水,4,0.0759791011223569,0.0004762577313213,0.0023891084651322747
en_def_translated_cn_def,氵,4,0.22974461069650418,0.013914629094761575,0.020514875431127
en_def_translated_cn_def,火,4,0.21553420426789666,0.0741536986824541,0.059578878710667575
en_def_translated_cn_def,灬,4,,,
en_def_translated_cn_def,爪,4,,,
en_def_translated_cn_def,爭,4,,,
en_def_translated_cn_def,父,4,,,
en_def_translated_cn_def,爿,4,,,
en_def_translated_cn_def,片,4,,,
en_def_translated_cn_def,牛,4,,,
en_def_translated_cn_def,牜,4,0.0910007684025913,0.011707645910898925,0.0034423720790064502
en_def_translated_cn_def,犬,4,-0.07313739959499797,0.05662311857761155,0.25499763850738455
en_def_translated_cn_def,犭,4,0.1714100926931548,0.0021807536511219,0.003866839658079475
