model,relation_class,channels,mean_offset_consistency,mean_forward_mrr,mean_inverse_mrr
bge_m3_1024d,示,4,0.0804751254850998,0.0008156237433233499,0.016888134789689202
bge_m3_1024d,礻,4,0.21307911086437253,0.019472714696244876,0.038710381076654574
bge_m3_1024d,禾,4,0.17352808315453713,0.006211193983440875,0.011448875450340224
bge_m3_1024d,穴,4,0.12936359173121142,0.018759913089830577,0.022213983893987647
bge_m3_1024d,立,4,0.009314679781839752,0.0009278496608724,0.003216157964192775
bge_m3_1024d,竹,4,0.2614493123140274,0.01788781639534865,0.0212206418617915
bge_m3_1024d,箕,4,,,
bge_m3_1024d,米,4,0.22521647438294062,0.013725248442818302,0.009084600749205175
bge_m3_1024d,糸,4,0.21380406570615734,0.009884704349952825,0.019537735570367
bge_m3_1024d,縣,4,,,
bge_m3_1024d,缶,4,-0.0662541389465332,0.000703853881839,0.0029764447167711
bge_m3_1024d,网,4,,,
bge_m3_1024d,罒,2,0.20836261957883834,0.0005430248489897999,0.0021412666808309
bge_m3_1024d,羊,4,0.16409039269201453,0.00544717260807795,0.0199892359323768
bge_m3_1024d,羽,4,0.1507348937623098,0.0060329620160333745,0.010571279220978
bge_m3_1024d,習,4,,,
bge_m3_1024d,老,4,,,
bge_m3_1024d,耂,2,,,
bge_m3_1024d,耒,4,0.10054373618082273,0.002391364292080025,0.002255541478506725
bge_m3_1024d,耳,4,0.0769543528869616,0.0097730477423135,0.00605182276684905
bge_m3_1024d,肉,4,0.22371072822548713,0.008959442846574425,0.0160373599374173
bge_m3_1024d,臣,4,,,
bge_m3_1024d,臤,4,,,
bge_m3_1024d,臥,4,,,
bge_m3_1024d,自,4,,,
bge_m3_1024d,至,4,,,
bge_m3_1024d,舌,4,,,
bge_m3_1024d,舛,2,,,
bge_m3_1024d,舟,4,0.31807550353308517,0.03821598630455685,0.0447781851286779
bge_m3_1024d,色,2,,,
bge_m3_1024d,艹,4,0.25961312304431716,0.01292059780732175,0.02771590087700665
bge_m3_1024d,蕇,4,,,
bge_m3_1024d,虍,4,0.0501032918691635,0.0001994325120616,0.0042078250531715
bge_m3_1024d,虎,2,,,
bge_m3_1024d,虫,4,0.324295743996747,0.0064218761938394,0.010229650617697724
bge_m3_1024d,血,4,0.3005823101848364,0.00410358866419025,0.16862973131044823
bge_m3_1024d,行,4,0.04317279652958465,0.07203125098445373,0.07476403683991625
bge_m3_1024d,衣,4,0.18177353510613622,0.012876282014370724,0.022947567668619925
bge_m3_1024d,衤,4,0.2737487388242754,0.0039335945994677,0.008504213841038475
bge_m3_1024d,襾,4,,,
bge_m3_1024d,覀,2,,,
bge_m3_1024d,見,4,0.12140149935536705,0.02248394415865255,0.006288107613352575
bge_m3_1024d,角,4,0.265553149675566,0.0007811305224140501,0.0060411384678961
bge_m3_1024d,言,4,0.18494992599559423,0.0152099853260153,0.03406536745847573
bge_m3_1024d,谷,4,,,
bge_m3_1024d,豆,4,,,
bge_m3_1024d,豕,4,0.46441511860272533,0.07579118892589759,0.0019453422763812999
bge_m3_1024d,象,4,,,
bge_m3_1024d,豸,4,0.3035105146955521,0.02181691427160145,0.003837044487582275
bge_m3_1024d,貝,4,0.18771464699653506,0.009072363942820575,0.01284669308877775
bge_m3_1024d,赤,4,,,
bge_m3_1024d,走,4,0.09831525910994962,0.000899815074627425,0.016862056694982926
bge_m3_1024d,足,4,0.2109139841049909,0.0001945637038951,0.1262213166792681
bge_m3_1024d,身,4,,,
bge_m3_1024d,車,4,0.2540536912410032,0.002410994165871575,0.007924378827298975
bge_m3_1024d,辛,4,,,
bge_m3_1024d,辶,4,0.15930404660426864,0.00691326037552585,0.01729026511090645
bge_m3_1024d,邑,4,,,
bge_m3_1024d,酉,4,0.20567042998154642,0.0060111717529353,0.00724210723939605
bge_m3_1024d,釆,4,,,
bge_m3_1024d,里,4,,,
bge_m3_1024d,金,2,,,
bge_m3_1024d,釒,4,0.2270956215172002,0.008919019975053826,0.0193983375462531
bge_m3_1024d,镸,1,,,
bge_m3_1024d,門,4,0.17250265111344165,0.03167776746378635,0.04538093961868182
bge_m3_1024d,阝,4,0.2226346275051932,0.005931168477953625,0.027809825288450628
bge_m3_1024d,隹,4,0.0638512960588257,0.01755882402507885,0.013691091541226375
bge_m3_1024d,雈,4,,,
bge_m3_1024d,雨,4,0.23060222633193372,0.03205118017090487,0.0464137041195979
bge_m3_1024d,雲,2,,,
bge_m3_1024d,非,4,,,
bge_m3_1024d,面,4,,,
bge_m3_1024d,革,4,0.21779958284916534,0.013296868697674451,0.048046197483250924
bge_m3_1024d,韋,4,0.2456823820248246,0.00057901260829075,0.01058821086114315
bge_m3_1024d,韮,4,,,
bge_m3_1024d,音,4,0.0015791985206305,0.000754536637847,0.0037243376795153
bge_m3_1024d,頁,4,0.1172675742467915,0.009647350583237475,0.008082743389204625
bge_m3_1024d,風,4,0.1693277888375127,0.034604339157195206,0.010753588315867
bge_m3_1024d,食,4,0.036195135364929826,0.00122940933692105,0.00315602472939205
bge_m3_1024d,飠,4,0.23748464651062803,0.010853021025173576,0.021805675682766923
bge_m3_1024d,首,4,,,
bge_m3_1024d,香,2,,,
bge_m3_1024d,馬,4,0.25278817625533523,0.005145110787729325,0.01200933768837615
bge_m3_1024d,骨,4,0.26725834996470216,0.042825701117247476,0.0026602214242496
bge_m3_1024d,高,4,,,
bge_m3_1024d,髟,4,0.23779180460895238,0.015877162135324977,0.0456024122225889
bge_m3_1024d,鬥,4,,,
bge_m3_1024d,鬼,4,0.18152628207080662,0.00552494141862025,0.00493562825247915
bge_m3_1024d,魚,4,0.4341680375703921,0.018301394003419576,0.007134727870341675
bge_m3_1024d,鳥,4,0.3562671599007576,0.0366047811576162,0.007347429092549649
bge_m3_1024d,鹵,4,,,
bge_m3_1024d,鹽,2,,,
bge_m3_1024d,鹿,4,0.2456369126614715,0.0141195336537343,0.0028414452108930003
bge_m3_1024d,麥,4,0.060992866754531846,0.0626377419989339,0.12643943466212548
bge_m3_1024d,麻,4,,,
bge_m3_1024d,黍,4,,,
bge_m3_1024d,黑,4,0.19411191346812934,0.00172300812715325,0.0073118254563018506
bge_m3_1024d,黹,4,,,
bge_m3_1024d,黽,4,,,
bge_m3_1024d,鼎,4,,,
bge_m3_1024d,鼓,4,0.5396056063473225,0.1128057913816774,0.0067013923371108
bge_m3_1024d,鼠,4,0.3064319277803103,0.0007050533339175999,0.0049810289541486995
bge_m3_1024d,鼻,4,,,
bge_m3_1024d,齒,4,0.3349278709237379,0.016831774080440925,0.002992144607761575
bge_m3_1024d,龍,4,,,
bge_m3_1024d,龠,4,,,
bge_m3_1024d,𠘨,4,,,
bge_m3_1024d,𠚕,4,,,
bge_m3_1024d,𠩺,1,,,
bge_m3_1024d,𠫓,4,,,
bge_m3_1024d,𡱕,4,,,
bge_m3_1024d,𢆶,4,,,
bge_m3_1024d,𣶒,4,,,
bge_m3_1024d,𤤴,4,,,
bge_m3_1024d,𥄎,1,,,
bge_m3_1024d,𦍌,4,,,
bge_m3_1024d,𧾷,4,0.24733522229627727,0.01042367871475035,0.0225708626184258
gte_multilingual_base_768d,⺝,1,,,
gte_multilingual_base_768d,㐬,4,,,
gte_multilingual_base_768d,㐭,2,,,
gte_multilingual_base_768d,㐺,1,,,
gte_multilingual_base_768d,㔾,4,,,
gte_multilingual_base_768d,㗊,2,,,
gte_multilingual_base_768d,㝱,4,,,
gte_multilingual_base_768d,㣺,4,,,
gte_multilingual_base_768d,㫃,4,0.28150280452318033,0.013767651691943975,0.00369859818463155
gte_multilingual_base_768d,㹜,4,,,
gte_multilingual_base_768d,㾜,4,,,
gte_multilingual_base_768d,䀠,4,,,
gte_multilingual_base_768d,䖵,4,0.03680043704807759,0.00285225635071045,0.0015337798137121002
gte_multilingual_base_768d,一,4,,,
gte_multilingual_base_768d,丂,2,,,
gte_multilingual_base_768d,与,2,,,
gte_multilingual_base_768d,丠,1,,,
gte_multilingual_base_768d,丮,1,,,
gte_multilingual_base_768d,乑,4,,,
gte_multilingual_base_768d,乙,4,,,
gte_multilingual_base_768d,二,4,,,
gte_multilingual_base_768d,云,2,,,
gte_multilingual_base_768d,京,4,,,
gte_multilingual_base_768d,人,4,,,
gte_multilingual_base_768d,亻,4,0.08769100054301447,0.029742469983041923,0.05799768793582975
gte_multilingual_base_768d,儿,4,,,
gte_multilingual_base_768d,光,4,,,
gte_multilingual_base_768d,兮,4,,,
gte_multilingual_base_768d,共,4,,,
gte_multilingual_base_768d,冂,4,,,
gte_multilingual_base_768d,冃,4,,,
gte_multilingual_base_768d,冖,4,,,
gte_multilingual_base_768d,冥,1,,,
gte_multilingual_base_768d,冫,4,0.20398324371005094,0.00452271303933065,0.002430086574956325
gte_multilingual_base_768d,几,4,,,
gte_multilingual_base_768d,刀,4,,,
gte_multilingual_base_768d,刂,4,0.21852635592065844,0.02603600954557515,0.013759903652231849
gte_multilingual_base_768d,力,4,0.12175140927075,0.0043977469957873,0.012846673402590776
gte_multilingual_base_768d,勹,4,,,
gte_multilingual_base_768d,匕,4,,,
gte_multilingual_base_768d,匚,4,0.088406340801157,0.001351929370706275,0.00401517854842905
gte_multilingual_base_768d,匸,4,,,
gte_multilingual_base_768d,十,4,,,
gte_multilingual_base_768d,卂,4,,,
gte_multilingual_base_768d,午,2,,,
gte_multilingual_base_768d,半,4,,,
gte_multilingual_base_768d,卜,4,,,
gte_multilingual_base_768d,卩,4,,,
gte_multilingual_base_768d,卵,4,,,
gte_multilingual_base_768d,厂,4,-0.0616720573355754,0.0010046617059113,0.0470359859788301
gte_multilingual_base_768d,厶,4,,,
gte_multilingual_base_768d,去,2,,,
gte_multilingual_base_768d,又,4,,,
gte_multilingual_base_768d,口,4,0.22169310777064308,0.013392264369059626,0.0299081988679231
gte_multilingual_base_768d,可,2,,,
gte_multilingual_base_768d,吅,2,,,
gte_multilingual_base_768d,向,4,,,
gte_multilingual_base_768d,喜,4,,,
gte_multilingual_base_768d,囗,4,0.1706374808214604,0.04522486583068827,0.02283510937292795
gte_multilingual_base_768d,土,4,0.19077719251809422,0.028960505711408326,0.046104664583167324
gte_multilingual_base_768d,士,1,,,
gte_multilingual_base_768d,壬,4,,,
gte_multilingual_base_768d,壴,4,,,
gte_multilingual_base_768d,夂,4,,,
gte_multilingual_base_768d,夊,1,,,
gte_multilingual_base_768d,夕,4,,,
gte_multilingual_base_768d,多,4,,,
gte_multilingual_base_768d,大,4,0.050193348841276,0.0069939283162311,0.06335566855261568
gte_multilingual_base_768d,夨,1,,,
gte_multilingual_base_768d,夭,4,,,
gte_multilingual_base_768d,夰,1,,,
gte_multilingual_base_768d,夸,4,,,
gte_multilingual_base_768d,奢,1,,,
gte_multilingual_base_768d,女,4,0.18605916683976967,0.005860940107726825,0.021388583054892673
