relation_class,n_training_families,replicate,held_out_family,heldout_offset_cosine,model,channel
䖵,1,8,ROOT-2053E,0.0180339589715003,bge_m3_1024d,cn_def
䖵,1,9,ROOT-2053E,0.0180339589715003,bge_m3_1024d,cn_def
䖵,1,10,ROOT-5F56,-0.0469720289111137,bge_m3_1024d,cn_def
䖵,1,11,ROOT-5F56,-0.0185325853526592,bge_m3_1024d,cn_def
䖵,1,12,ROOT-77DB,0.0180339589715003,bge_m3_1024d,cn_def
䖵,1,13,ROOT-5F56,-0.0469720289111137,bge_m3_1024d,cn_def
䖵,1,14,ROOT-2053E,-0.0185325853526592,bge_m3_1024d,cn_def
䖵,1,15,ROOT-77DB,0.0180339589715003,bge_m3_1024d,cn_def
䖵,1,16,ROOT-5F56,-0.0469720289111137,bge_m3_1024d,cn_def
䖵,1,17,ROOT-2053E,-0.0185325853526592,bge_m3_1024d,cn_def
䖵,1,18,ROOT-2053E,-0.0185325853526592,bge_m3_1024d,cn_def
䖵,1,19,ROOT-5F56,-0.0469720289111137,bge_m3_1024d,cn_def
䖵,1,20,ROOT-5F56,-0.0469720289111137,bge_m3_1024d,cn_def
䖵,1,21,ROOT-2053E,-0.0185325853526592,bge_m3_1024d,cn_def
䖵,1,22,ROOT-5F56,-0.0469720289111137,bge_m3_1024d,cn_def
䖵,1,23,ROOT-2053E,0.0180339589715003,bge_m3_1024d,cn_def
䖵,1,24,ROOT-2053E,0.0180339589715003,bge_m3_1024d,cn_def
䖵,1,25,ROOT-77DB,-0.0469720289111137,bge_m3_1024d,cn_def
䖵,1,26,ROOT-5F56,-0.0469720289111137,bge_m3_1024d,cn_def
䖵,1,27,ROOT-77DB,-0.0469720289111137,bge_m3_1024d,cn_def
䖵,1,28,ROOT-5F56,-0.0185325853526592,bge_m3_1024d,cn_def
䖵,1,29,ROOT-5F56,-0.0469720289111137,bge_m3_1024d,cn_def
䖵,2,0,ROOT-5F56,-0.0441363453865051,bge_m3_1024d,cn_def
䖵,2,1,ROOT-5F56,-0.0441363453865051,bge_m3_1024d,cn_def
䖵,2,2,ROOT-2053E,-0.0023171203210949,bge_m3_1024d,cn_def
䖵,2,3,ROOT-2053E,-0.0023171203210949,bge_m3_1024d,cn_def
䖵,2,4,ROOT-2053E,-0.0023171203210949,bge_m3_1024d,cn_def
䖵,2,5,ROOT-77DB,-0.020299507305026,bge_m3_1024d,cn_def
䖵,2,6,ROOT-2053E,-0.0023171203210949,bge_m3_1024d,cn_def
䖵,2,7,ROOT-5F56,-0.0441363453865051,bge_m3_1024d,cn_def
䖵,2,8,ROOT-2053E,-0.0023171203210949,bge_m3_1024d,cn_def
䖵,2,9,ROOT-2053E,-0.0023171203210949,bge_m3_1024d,cn_def
䖵,2,10,ROOT-2053E,-0.0023171203210949,bge_m3_1024d,cn_def
䖵,2,11,ROOT-77DB,-0.020299507305026,bge_m3_1024d,cn_def
䖵,2,12,ROOT-2053E,-0.0023171203210949,bge_m3_1024d,cn_def
䖵,2,13,ROOT-2053E,-0.0023171203210949,bge_m3_1024d,cn_def
䖵,2,14,ROOT-5F56,-0.0441363453865051,bge_m3_1024d,cn_def
䖵,2,15,ROOT-2053E,-0.0023171203210949,bge_m3_1024d,cn_def
䖵,2,16,ROOT-77DB,-0.020299507305026,bge_m3_1024d,cn_def
䖵,2,17,ROOT-5F56,-0.0441363453865051,bge_m3_1024d,cn_def
䖵,2,18,ROOT-5F56,-0.0441363453865051,bge_m3_1024d,cn_def
