edge_row,derived_character,p_anchor,s_component_canonical,s_independent_character,conditions,conditions_improved,top1_rescues,top1_losses,mean_rank_change
EDGE-02473,謑,奚,言,言,8,7,0,0,773.875
EDGE-01662,靸,及,革,革,8,7,0,0,770.0
EDGE-01287,鼩,句,鼠,鼠,8,7,0,0,769.25
EDGE-05680,矕,䜌,目,目,8,7,0,0,766.75
EDGE-00870,牏,兪,片,片,8,7,0,0,766.125
EDGE-05331,窞,臽,穴,穴,8,7,0,0,762.5
EDGE-05982,趡,隹,走,走,8,7,0,0,758.875
EDGE-05878,藩,潘,艹,艸,8,7,0,0,749.75
EDGE-01091,堋,朋,土,土,8,7,0,0,747.75
EDGE-05997,躩,矍,𧾷,足,8,7,0,0,747.375
EDGE-01349,囮,化,囗,囗,8,7,0,0,740.75
EDGE-05655,澥,解,氵,水,8,7,0,0,727.25
EDGE-02580,殍,孚,歹,歹,8,7,0,0,726.0
EDGE-02141,呬,四,口,口,8,7,0,0,725.625
EDGE-03215,靷,引,革,革,8,7,0,0,722.125
EDGE-06085,屩,喬,履,履,8,7,0,0,719.875
EDGE-03391,韱,㦰,韭,韭,8,7,0,0,714.0
EDGE-04757,轀,𥁕,車,車,8,7,0,0,709.25
EDGE-03307,閟,必,門,門,8,7,0,0,700.5
EDGE-05816,蓐,辱,艹,艸,8,7,0,0,699.75
EDGE-04928,勱,萬,力,力,8,7,0,0,698.75
EDGE-01607,誒,矣,言,言,8,7,0,0,689.0
EDGE-05965,漼,崔,氵,水,8,7,0,0,684.875
EDGE-01843,詻,各,言,言,8,7,0,0,679.875
EDGE-05738,儹,贊,亻,人,8,7,0,0,679.25
EDGE-03764,憯,朁,忄,心,8,7,0,0,676.0
EDGE-06090,繑,喬,糸,糸,8,7,0,0,674.5
EDGE-04879,祏,石,礻,示,8,7,0,0,673.25
EDGE-03712,鞮,是,革,革,8,7,0,0,670.0
EDGE-00785,蜺,兒,虫,虫,8,7,0,0,666.875
EDGE-03125,閈,干,門,門,8,7,0,0,664.75
EDGE-04931,濿,厲,氵,水,8,7,0,0,648.0
EDGE-05960,鷕,唯,鳥,鳥,8,7,0,0,647.25
EDGE-03332,戉,𠄌,戈,戈,8,7,0,0,641.75
EDGE-05169,榿,豈,木,木,8,7,0,0,638.75
EDGE-01276,笱,句,竹,竹,8,7,0,0,631.75
EDGE-02506,笯,奴,竹,竹,8,7,0,0,629.625
EDGE-00080,衄,丑,血,血,8,7,0,0,627.75
EDGE-04405,袚,犮,衤,衣,8,7,0,0,622.0
EDGE-03716,唶,昔,口,口,8,7,0,0,620.625
EDGE-00209,踣,咅,𧾷,足,8,7,0,0,613.625
EDGE-05638,睍,見,目,目,8,7,0,0,605.875
EDGE-02983,畯,夋,田,田,8,7,0,0,604.5
EDGE-04141,捄,求,扌,手,8,7,0,0,602.75
EDGE-01064,幎,冥,巾,巾,8,7,0,0,601.5
EDGE-03299,珌,必,王,玉,8,7,0,0,601.5
EDGE-03673,愓,昜,忄,心,8,7,0,0,597.625
EDGE-03789,剺,𠩺,刀,刀,8,7,0,0,590.5
EDGE-04531,葡,匍,艹,艸,8,7,0,0,582.625
